Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Sam Lindley,,,,6,Author
Daan Leijen,,,,5,Author
Taro Sekiyama,,,,4,Author
Dariusz Biernacki,Dariush /ˈdarʲjuʃ/ Biernacki,,,3,Author
Filip Sieczkowski,,,,3,Author
Ohad Kammar,,,,3,Author
Philipp Schuster,,,,3,Author
Piotr Polesiuk,,,,3,Author
Amal Ahmed,,,,2,Author
Atsushi Igarashi,,,,2,Author
Giuseppe Castagna,,,,2,Author
Hiroshi Unno,,,,2,Author
Klaus Ostermann,,,,2,Author
Matthias Felleisen,,,,2,Author
Ningning Xie,,,,2,Author
Darius Foo,,,,1,Author
Frank Emrich,,,,1,Author
Ilya Sergey,,,,1,Author
James Chapman,,,,1,Author
James Cheney,,,,1,Author
Jan Stolarek,,,,1,Author
Martin Odersky,,,,1,Author
Ranjit Jhala,,,,1,Author
Shin-ya Katsumata,,,,1,Author
Simon Fowler,,,,1,Author
Tom Schrijvers,,,,1,Author
Wei-Ngan Chin,,,,1,Author
Wenhao Tang,,,,1,Author
Wilmer Ricciotti,,,,1,Author
Wouter Swierstra,,,,1,Author
Yahui Song,,,,1,Author
Yannick Forster,,,,1,Author
K ,,“K axiom”,,111,
effect handlers,,,,72,
algebras,,,,66,
Eff,,,,63,
ACM,,Association for Computing Machinery,,60,
algebra,,,,60,
semantics,,,,50,
expression,,,,46,Common-term
effect handler,,,,30,
polymorphism,,,,26,Common-term
scoped,,,,26,Common-term
context,,,,19,Common-term
Pretnar,,,,18,
algebraic effects,,,,17,
clause,,,,17,
Koka,,,,17,Programming-language
theorem,,,,14,Common-term
abstraction,,,,11,Common-term
continuation,,,,11,
POPL,pop-ill,Conference,,11,Common-term
sequential ,,,,11,
syntax,,,,10,Common-term
type-and-effect system,,,,10,
reduction,,,,9,Common-term
polymorphic,,,,8,Common-term
subtyping,,,,8,Common-term
integer,,,,7,Common-term
unification,,,,7,
well-formedness,,,,7,Common-term
generic,,,,6,
operational semantics,,,,6,
calculus,,Used to describe a core simple programming language,,5,Common-term
constructor,,,,5,Common-term
lemma,,,,5,Common-term
Plotkin,,Name,,5,name
SIGPLAN,,special interest group on programming languages,,5,
abstractions,,,,4,
effectful,,,,4,
expressive,,,,4,Common-term
ICFP,,Conference,,4,Common-term
idempotence,,,,4,
row polymorphism,,,,4,
syntactic,,,,4,Common-term
derivation,,,,3,
modular,,,,3,Common-term
monoid,,,,3,Common-term
object-oriented,,,,3,Common-term paradigm
Power,,,,3,
reduction relation,,,,3,
Wadler,,,,3,Name
Boolean,,,,2,
calculi,,,,2,
Cardelli,,,,2,
formalization,,,,2,Common-term
functional programming,,,,2,
homomorphism,,,,2,Common-term
idempotent,,,,2,Common-term
Moggi,,,,2,Name
monomorphic,,,,2,
reflect,,,,2,
Scheme,,,,2,Common-term programming-language
typechecking,,,,2,Common-term
backtracking,,,,1,Common-term
Call-by-Value,,(CBV),,1,Common-term evaluation
category,,,,1,
closure,,,,1,Common-term
conclusion,,,,1,
contextual,,,,1,Common-term
CPS,C.P.S.,abbreviation for continuation-passing style ,,1,
dependent,,,,1,Common-term
derive,,,,1,
erasure,,type erasure,,1,Common-term
Felleisen,,,,1,
higher-order function,,,,1,
Hudak,,,,1,Name
inferring,,,,1,
injection,,,,1,
Katsumata,,,,1,
KN,K.N.,KN abstract machine,,1,
matching,,“pattern matching”,,1,Common-term
metatheory,,,,1,Common-term
ML,,,,1,Programming-language
monadic,Mow-nad-ick,,,1,
Nijmegen,,“Radboud University Nijmegen” A city in the Netherlands,,1,City
nondeterministic,,,,1,
OOPSLA,oops-la,,,1,Conference
PLDI,,Conference,,1,Common-term
producer,,,,1,
recursive,,,,1,Common-term
redex,,,,1,
reflection,,,,1,Common-term
relational,,,,1,
sequential semantics,,,,1,
symbolic,,,,1,
TyDe@ICFP,,,,1,email
Why,,,,1,
type-erasure,,,,35,unclassified
type-and-effect,,,,28,unclassified
EASet,,,,25,unclassified
typelike,,,,23,unclassified
Hillerstrom,,,,21,unclassified
handlel,,,,20,unclassified
EAScpR,,,,19,unclassified
Leijen,,,,19,unclassified
multisets,,,,19,unclassified
Biernacki,,,,18,unclassified
EASimpR,,,,17,unclassified
n-free(L,,,,17,unclassified
subeffecting,,,,14,unclassified
opl,,,,13,unclassified
SimpR,,,,13,unclassified
0-free(l,,,,10,unclassified
EAMSet,,,,10,unclassified
e:A,,,,9,unclassified
Matija,,,,9,unclassified
Kammar,,,,8,unclassified
R_Handle2,,,,8,unclassified
ScpR,,,,8,unclassified
E[opl,,,,7,unclassified
false,,,,7,unclassified
typelikes,,,,7,unclassified
Brachthauser,,,,6,unclassified
row-based,,,,6,unclassified
Sekiyama,,,,6,unclassified
set-based,,,,6,unclassified
Comput,,,,5,unclassified
EAEScpR,,,,5,unclassified
tellWriter,,,,5,unclassified
vcont,,,,5,unclassified
EAESet,,,,4,unclassified
handleExc,,,,4,unclassified
handleWriter,,,,4,unclassified
IntSet,,,,4,unclassified
MSet,,,,4,unclassified
raiseExc,,,,4,unclassified
T_Handling,,,,4,unclassified
type-andeffect,,,,4,unclassified
user-defined,,,,4,unclassified
0-freeness,,,,3,unclassified
