Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Sam Lindley,,,,10,Author
Tom Schrijvers,,,,5,Author
Nicolas Wu,,,,4,Author
Daan Leijen,,,,3,Author
KC Sivaramakrishnan,,,,3,Author
Ohad Kammar,,,,3,Author
Anil Madhavapeddy,,,,2,Author
Conor McBride,,,,2,Author
Koen Claessen,,,,2,Author
Leo White,,,,2,Author
Simon Peyton Jones,,,,2,Author
Stephen Dolan,,,,2,Author
Adam Paszke,,,,1,Author
Amr Sabry,,,,1,Author
Andreas Rossberg,,,,1,Author
Casper Bach Poulsen,,,,1,Author
Dariusz Biernacki,Dariush /ˈdarʲjuʃ/ Biernacki,,,1,Author
Dougal Maclaurin,,,,1,Author
Filip Sieczkowski,,,,1,Author
James Cheney,,,,1,Author
Klaus Ostermann,,,,1,Author
Ningning Xie,,,,1,Author
Olivier Danvy,,,,1,researcher
Philipp Schuster,,,,1,Author
Piotr Polesiuk,,,,1,Author
Stephanie Weirich,,,,1,Author
Wenhao Tang,,,,1,Author
Yannick Forster,,,,1,Author
Zhixuan Yang,,,,1,Author
 Independent,,,,15,Institution
expression,,,,56,Common-term
array,,,,53,Common-term
clause,,,,52,
K ,,“K axiom”,,45,
semantics,,,,38,
Haskell,,,,31,Common-term programming-language
ACM,,Association for Computing Machinery,,22,
applicative,,,,21,Common-term
context,,,,21,Common-term
continuation,,,,20,
constructor,,,,16,Common-term
monad,Mow-nad,,,16,Common-term
syntax,,,,15,Common-term
SIGPLAN,,special interest group on programming languages,,13,
functional programming,,,,11,
polymorphic,,,,11,Common-term
calculus,,Used to describe a core simple programming language,,10,Common-term
iterations,,,,10,
Dependent types,,,,9,types
operational semantics,,,,9,
Pretnar,,,,9,
sequential ,,,,9,
untyped,,,,9,
heterogeneous,,,,8,
Eff,,,,7,
forall,,quantifier,,7,Common-term logic
integer,,,,7,Common-term
IO,Eye-oh,,,7,
Kiselyov,,,,7,
Marlow,,,,7,
Power,,,,7,
abstractions,,,,6,
applicative functor,,,,6,
concurrent,,,,6,Common-term
higher-order,,,,6,Common-term
type-check,,,,6,Common-term
typeclass,,,,6,Common-term
concurrency,,,,5,Common-term
Ishii,,,,5,
Plotkin,,Name,,5,name
syntactic,,,,5,Common-term
compiler,,,,4,Common-term
dependent,,,,4,Common-term
monadic,Mow-nad-ick,,,4,
abstraction,,,,3,Common-term
erasure,,type erasure,,3,Common-term
expressive,,,,3,Common-term
generic,,,,3,
lambda calculus,lam-duh calculus,,,3,theory
lemma,,,,3,Common-term
McBride,,,,3,Name
Paterson,,,,3,
POPL,pop-ill,Conference,,3,Common-term
runtime,,,,3,Common-term
theorem,,,,3,Common-term
Ahman,,,,2,
calculi,,,,2,
composable,,,,2,
effect handlers,,,,2,
GHC,,,,2,compiler tool
ICFP,,Conference,,2,Common-term
Koka,,,,2,Programming-language
monoid,,,,2,Common-term
nondeterminism,,,,2,
OCaml,,,,2,Common-term programming-language
reduction,,,,2,Common-term
scoped,,,,2,Common-term
Swamy,,,,2,
WebAssembly,,,,2,Common-term programming-language
well-formedness,,,,2,Common-term
well-typed,,,,2,Common-term
alias,,,,1,
Boolean,,,,1,
Call-by-Value,,(CBV),,1,Common-term evaluation
closure,,,,1,Common-term
combinator,,,,1,Common-term
compiled,,,,1,
conclusion,,,,1,
desugaring,,,,1,Common-term
Foldable,,,,1,
force,,,,1,Common-term evaluation
freer monads,,,,1,
functor,,,,1,Common-term
Go,,,,1,
I/O,“eye-oh”,,,1,
isomorphic,,,,1,Common-term
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,1,
linear types,,,,1,Common-term
modular,,,,1,Common-term
modularity,,,,1,Common-term
monoidal,,,,1,Common-term
Multicore OCaml,,,,1,
nondeterministic,,,,1,
OOPSLA,oops-la,,,1,Conference
optional,,,,1,
polymorphism,,,,1,Common-term
recursive,,,,1,Common-term
relational,,,,1,
typeclasses,,,,1,
untyped lambda calculus,,,,1,Common-term
Vytiniotis,,,,1,
well-formed,,,,1,Common-term
Why,,,,1,
eects,,,,77,unclassified
dierent,,,,28,unclassified
hAccum,,,,25,unclassified
rst,,,,24,unclassified
eectful,,,,22,unclassified
runAccum,,,,15,unclassified
FreeAp,,,,13,unclassified
Haskell's,,,,13,unclassified
i:n,,,,13,unclassified
Indep,,,,12,unclassified
sampleUniform,,,,10,unclassified
Specically,,,,9,unclassified
nal,,,,8,unclassified
parallelizable,,,,8,unclassified
False,,,,6,unclassified
Hillerstrom,,,,6,unclassified
l.i,,,,6,unclassified
mempty,,,,6,unclassified
rank-2,,,,6,unclassified
user-dened,,,,6,unclassified
value-dependent,,,,6,unclassified
applicative-style,,,,5,unclassified
forP,,,,5,unclassified
Matija,,,,5,unclassified
type-checks,,,,5,unclassified
ActionA,,,,4,unclassified
ActionB,,,,4,unclassified
expr,,,,4,unclassified
f_traverse,,,,4,unclassified
HAccumCont,,,,4,unclassified
hamb,,,,4,unclassified
PRNG,,,,4,unclassified
Rank2.Traversable,,,,4,unclassified
runAmb,,,,4,unclassified
runRandom,,,,4,unclassified
runSharedState,,,,4,unclassified
runWeakExcept,,,,4,unclassified
type-safe,,,,4,unclassified
x.i,,,,4,unclassified
ABCDE,,,,3,unclassified
ActionC,,,,3,unclassified
Blaevi,,,,3,unclassified
Brachthauser,,,,3,unclassified
Capriotti,,,,3,unclassified
dened,,,,3,unclassified
Dex's,,,,3,unclassified
dierence,,,,3,unclassified
ecient,,,,3,unclassified
hAccumTraverse,,,,3,unclassified
heterogeneously-typed,,,,3,unclassified
Kaposi,,,,3,unclassified
key1,,,,3,unclassified
key2,,,,3,unclassified
Legare,,,,3,unclassified
Maciej,,,,3,unclassified
runIndep,,,,3,unclassified
specic,,,,3,unclassified
splitKey,,,,3,unclassified
unparameterized,,,,3,unclassified
waitUntil,,,,3,unclassified
ABCD,,,,2,unclassified
ApplicativeDo,,,,2,unclassified
