Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Steve Zdancewic,,,,7,Author
David Van Horn,,,,4,Author
Li-yao Xia,,,,3,Author
Sebastian Erdweg,,,,3,Author
Sven Keidel,,,,3,Author
Yannick Zakowski,,,,3,Author
Ilya Sergey,,,,2,Author
Adam Chlipala,,,,1,Author
Brent Yorgey,,,,1,Author
Calvin Beck,,,,1,Author
Casper Bach Poulsen,,,,1,Author
Chris Casinghino,,,,1,Author
Conor McBride,,,,1,Author
Derek Dreyer,,,,1,Author
Irene Yoon,,,,1,Author
Jan Midtgaard,,,,1,researcher
Ludovic Henrio,,,,1,Author
Ralf Jung,,,,1,Author
Robbert Krebbers,,,,1,Author
Wouter Swierstra,,,,1,Author
Yao Li,,,,1,Author
 Independent,,,,4,Institution
 University of Maryland College Park,,,,1,Institution
monadic,Mow-nad-ick,,,42,
monad,Mow-nad,,,33,Common-term
K ,,“K axiom”,,31,
Ret,,,,29,
combinator,,,,28,Common-term
modular,,,,27,Common-term
IMP,Like the little demon “imp”,A simple “imperative” programming language,,26,
semantics,,,,25,
StateT,,,,22,Common-term
ACM,,Association for Computing Machinery,,19,
fixpoint,,,,18,Common-term
Coq,“Coq”,,,14,Common-term programming-language theorem-prover
match,,,,12,
monad transformer,,,,12,Common-term
theorem,,,,11,Common-term
monadic interpreters,,,,10,
AST ,A.S.T.,Abstract Syntax Tree,,7,
lattice,,,,7,Common-term
lemma,,,,7,Common-term
matching,,“pattern matching”,,7,Common-term
POPL,pop-ill,Conference,,7,Common-term
syntax,,,,7,Common-term
constructor,,,,6,Common-term
modularity,,,,6,Common-term
SIGPLAN,,special interest group on programming languages,,6,
coinductive,,,,5,Common-term
ICFP,,Conference,,5,Common-term
continuation,,,,4,
derive,,,,4,
effectful,,,,4,
generic,,,,4,
Leroy,,,,4,Name
paradigm,,,,4,Common-term
Scheme,,,,4,Common-term programming-language
abstractions,,,,3,
ASM,A.S.M.,Assembly language,,3,
datatype,,,,3,Common-term
decidable,,,,3,
deriving,,,,3,
formalization,,,,3,Common-term
freer monad,,,,3,
LLVM,L.L.V.M.,,,3,
recursion,,,,3,Common-term
Semantic,,,,3,Common-term
abstraction,,,,2,Common-term
axioms,,,,2,
Capretta,,,,2,
category,,,,2,
CBN,,call-by-name,,2,Common-term evaluation
context,,,,2,Common-term
Coq's,“Coq”,,,2,Common-term programming-language theorem-prover
dependent,,,,2,Common-term
derivation,,,,2,
expression,,,,2,Common-term
expressive,,,,2,Common-term
functional programming,,,,2,
Gibbons,,,,2,
Go,,,,2,
Hancock,,,,2,Name
induction,,,,2,Common-term
inductive,,,,2,Common-term
IR ,I.R.,intermediate representation,,2,
Ishii,,,,2,
isomorphic,,,,2,Common-term
Kiselyov,,,,2,
Letan,,,,2,
macro,,,,2,
meta-theory,,,"also ""metatheory""",2,Common-term
metatheory,,,,2,Common-term
Prop,,,,2,
recursive,,,,2,Common-term
symbolic,,,,2,
Vellvm,vellum,,,2,
Why,,,,2,
Agda,,Agda-style,,1,Common-term Programming-language
algebraic effects,,,,1,
API,A.P.I.,Application Programming Interface,,1,Common-term
atomic,,,,1,
boilerplate,,,,1,
Boolean,,,,1,
CertiKOS,,“Certified Kit Operating System”,,1,
closure,,,,1,Common-term
CompCert,,A certified compiler,,1,
compiled,,,,1,
compiler,,,,1,Common-term
conclusion,,,,1,
concurrency,,,,1,Common-term
concurrent,,,,1,Common-term
denotational semantics,,,,1,semantics
dependently-typed,,,,1,types
Dijkstra monad ,/ˈdɑɪkstɹə/ DYKE-struh,,,1,
divergence,,,,1,Common-term
Dominique Devriese,,,,1,
DSL,,,,1,
duality,,,,1,
dynamic semantics,,,,1,
ecosystem,,,,1,
effect handlers,,,,1,
equational,,,,1,Common-term
equational theory,,,,1,Common-term
evaluator,,,,1,
expressiveness,,,,1,Common-term
free monad,free mow-nad,,,1,
freer monads,,,,1,
FreeSpec,,,,1,
Haskell,,,,1,Common-term programming-language
integer,,,,1,Common-term
Interp,,,,1,
iterations,,,,1,
Java,,,,1,
linear,,,,1,Common-term
linearization,,,,1,
McBride,,,,1,Name
mechanization,,,,1,
meta-language,,,,1,
ML,,,,1,Programming-language
morphism,,,,1,Common-term
nondeterministic,,,,1,
noninterference,,,,1,Common-term
object-oriented,,,,1,Common-term paradigm
OCaml,,,,1,Common-term programming-language
OOPSLA,oops-la,,,1,Conference
operational semantics,,,,1,
OS,operating system,,,1,
reflect,,,,1,
relational,,,,1,
resumption monad,,,,1,
Rust,,,,1,Common-term programming-language
RustBelt,,,,1,
sequential ,,,,1,
Shao,,,,1,
small-step,,,,1,Common-term
Swierstra,,,,1,
syntactic,,,,1,Common-term
transition system,,,,1,
typeclass,,,,1,Common-term
VST,,Verified Software Toolchain,,1,theorem-proving tool
itree,,,,53,unclassified
failT,,,,26,unclassified
Cousot,,,,21,unclassified
SurfaceAST,,,,21,unclassified
ITrees,,,,18,unclassified
may_exit,,,,17,unclassified
memE,,,,17,unclassified
arithE,,,,16,unclassified
handle_state,,,,14,unclassified
csum,,,,13,unclassified
Darais,,,,13,unclassified
assertE,,,,12,unclassified
JsK,,,,11,unclassified
do-loop,,,,10,unclassified
handle_fail,,,,10,unclassified
JeK,,,,10,unclassified
ast2itree,,,,9,unclassified
h_assert,,,,9,unclassified
tailmrec,,,,9,unclassified
ast2aflow,,,,8,unclassified
h_arith,,,,8,unclassified
Bodin,,,,7,unclassified
inr,,,,7,unclassified
Keidel,,,,7,unclassified
concrete/abstract,,,,6,unclassified
do-and,,,,6,unclassified
expr_sound,,,,6,unclassified
ITree.ret,,,,6,unclassified
ITree.trigger,,,,6,unclassified
J*K,,,,6,unclassified
non-local,,,,6,unclassified
Pichardie,,,,6,unclassified
ret-and,,,,6,unclassified
BooleanDomain,,,,5,unclassified
snd,,,,5,unclassified
SoundAST_Seq,,,,5,unclassified
AST_If,,,,4,unclassified
big-step,,,,4,unclassified
evl_in,,,,4,unclassified
failT_kmerge,,,,4,unclassified
Imp's,,,,4,unclassified
imp_interp,,,,4,unclassified
ITree.iter,,,,4,unclassified
J-K,,,,4,unclassified
Js1K,,,,4,unclassified
Js2K,,,,4,unclassified
Monniaux,,,,4,unclassified
sound_unfold,,,,4,unclassified
stmt_sound,,,,4,unclassified
Value*T*U3,,,,4,unclassified
Verasco,,,,4,unclassified
AST_Ret,,,,3,unclassified
AST_Seq,,,,3,unclassified
AST_While_unit,,,,3,unclassified
ASTs,,,,3,unclassified
Boulme,,,,3,unclassified
cfg,,,,3,unclassified
compute_binop,,,,3,unclassified
Erdweg,,,,3,unclassified
h_arith_sound,,,,3,unclassified
h_assert_sound,,,,3,unclassified
h_mem,,,,3,unclassified
handle_pure,,,,3,unclassified
isfalse,,,,3,unclassified
istrue,,,,3,unclassified
ITree-based,,,,3,unclassified
Labich,,,,3,unclassified
mksum,,,,3,unclassified
next_t,,,,3,unclassified
SoundAST,,,,3,unclassified
SoundAST_Event,,,,3,unclassified
su2,,,,3,unclassified
while-loop,,,,3,unclassified
Xia,,,,3,unclassified
Aczel,,,,2,unclassified
aflow.Ret,,,,2,unclassified
AST_Do,,,,2,unclassified
AST_Event,,,,2,unclassified
AST_While,,,,2,unclassified
ASTREE,,,,2,unclassified
C-style,,,,2,unclassified
control-flow,,,,2,unclassified
Cortesi,,,,2,unclassified
Dagstuhl,,,,2,unclassified
FALSE,,,,2,unclassified
first-order,,,,2,unclassified
fst,,,,2,unclassified
h_state,,,,2,unclassified
handler_sound_failT,,,,2,unclassified
handler_sound_idT,,,,2,unclassified
handler_sound_stateT,,,,2,unclassified
handling_sound_stateT,,,,2,unclassified
Hinit,,,,2,unclassified
Hombucher,,,,2,unclassified
imp_interp_sound,,,,2,unclassified
init:T,,,,2,unclassified
Jacques-Henri,,,,2,unclassified
Je1K,,,,2,unclassified
Je2K,,,,2,unclassified
Jii,,,,2,unclassified
join/widen,,,,2,unclassified
Jwhile,,,,2,unclassified
Lesani,,,,2,unclassified
mem_get,,,,2,unclassified
mem_store,,,,2,unclassified
meta-theoretical,,,,2,unclassified
monadT,,,,2,unclassified
mutually-tail-recursive,,,,2,unclassified
no-op,,,,2,unclassified
non-recursive,,,,2,unclassified
non-relational,,,,2,unclassified
non-trivial,,,,2,unclassified
num_nat,,,,2,unclassified
NumericalDomain,,,,2,unclassified
open-source,,,,2,unclassified
params,,,,2,unclassified
partially-handled,,,,2,unclassified
pfp_u1,,,,2,unclassified
Ph.D,,,,2,unclassified
post-fixpoint,,,,2,unclassified
Poulsen,,,,2,unclassified
