Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Amr Sabry,,,,1,Author
Id,,,,289,
monoidal,,,,121,Common-term
K ,,“K axiom”,,85,
category,,,,66,
coherence,,,,40,
semantics,,,,35,
functor,,,,26,Common-term
Hilbert,,,,20,
ACM,,Association for Computing Machinery,,17,
contraction,,,,15,
morphism,,,,14,Common-term
theorem,,,,14,Common-term
syntax,,,,12,Common-term
combinator,,,,9,Common-term
Prop,,,,8,
Agda,,Agda-style,,7,Common-term Programming-language
categorical semantics,,,,7,
POPL,pop-ill,Conference,,7,Common-term
Boolean,,,,6,
embeddings,,,,6,
canonicity,,,,5,
derive,,,,5,
Gen,,,,5,
invertible,,,,5,
linear,,,,5,Common-term
SIGPLAN,,special interest group on programming languages,,5,
Choudhury,,,,4,
lemma,,,,4,Common-term
sequential ,,,,4,
equational theory,,,,3,Common-term
inductive,,,,3,Common-term
lambda calculus,lam-duh calculus,,,3,theory
Semantic,,,,3,Common-term
adjoint,,,,2,theory
algebra,,,,2,
algebras,,,,2,
calculi,,,,2,
clause,,,,2,
congruence,,,,2,Common-term
conjunction,,,,2,
equational,,,,2,Common-term
functional programming,,,,2,
Go,,,,2,
injection,,,,2,
isomorphic,,,,2,Common-term
multiplicative,,,,2,
Power,,,,2,
probability,,,,2,Common-term
syntactic,,,,2,Common-term
,,,,1,email
algebraic effects,,,,1,
atomic,,,,1,
automata,,,,1,Common-term
axiomatic,,,,1,
axioms,,,,1,
calculus,,Used to describe a core simple programming language,,1,Common-term
composable,,,,1,
cons,kon-ss,,,1,
datatype,,,,1,Common-term
demonic,,,,1,
denotational semantics,,,,1,semantics
dependent,,,,1,Common-term
duality,,,,1,
expression,,,,1,Common-term
expressive,,,,1,Common-term
extensional,,functions,,1,theory
force,,,,1,Common-term evaluation
Gay ,,,,1,Name
heterogeneous,,,,1,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,1,
induction,,,,1,Common-term
IO,Eye-oh,,,1,
Kleisli,,,,1,
lambda calculi,,,,1,Common-term
Meta-level,,,,1,Common-term
modular,,,,1,Common-term
monad,Mow-nad,,,1,Common-term
monoid,,,,1,Common-term
monoids,,,,1,Common-term
operational semantics,,,,1,
Pi, pie,dependent types,,1,theory
PLDI,,Conference,,1,Common-term
precision,,Gradual typing,,1,theory
recursion,,,,1,Common-term
semiring,,,,1,
small-step,,,,1,Common-term
Why,,,,1,
Aut,,,,50,unclassified
cx,,,,28,unclassified
Heunen,,,,24,unclassified
SymMonAmalg(Unitary,,,,17,unclassified
assoc>>>l,,,,14,unclassified
assocr,,,,14,unclassified
Sabry,,,,14,unclassified
identity-on-objects,,,,13,unclassified
assocl,,,,12,unclassified
Kaarsgaard,,,,12,unclassified
Toffoli,,,,12,unclassified
assertZero,,,,11,unclassified
automorphisms,,,,11,unclassified
Jarr,,,,11,unclassified
JK,,,,11,unclassified
SymMonAmalg(C,,,,11,unclassified
unitaries,,,,11,unclassified
arrZ,,,,10,unclassified
fst,,,,10,unclassified
uniti,,,,10,unclassified
Coecke,,,,9,unclassified
copyZ,,,,9,unclassified
assoc>>>r,,,,8,unclassified
Carette,,,,8,unclassified
FHilb,,,,8,unclassified
involutive,,,,8,unclassified
qubits,,,,8,unclassified
ccx,,,,7,unclassified
Selinger,,,,7,unclassified
Amalg(C,,,,6,unclassified
map3,,,,6,unclassified
Staton,,,,6,unclassified
Valiron,,,,6,unclassified
bifunctoriality,,,,5,unclassified
FinBij,,,,5,unclassified
hadInv,,,,5,unclassified
Hermida,,,,5,unclassified
homL,,,,5,unclassified
JzeroK,,,,5,unclassified
measureZ,,,,5,unclassified
qubit,,,,5,unclassified
unitors,,,,5,unclassified
Abramsky,,,,4,unclassified
Andres-Martinez,,,,4,unclassified
Frobenius,,,,4,unclassified
J-K,,,,4,unclassified
Jassocl,,,,4,unclassified
Jassocr,,,,4,unclassified
Jcopy,,,,4,unclassified
JidK,,,,4,unclassified
JminusK,,,,4,unclassified
JplusK,,,,4,unclassified
Jswap,,,,4,unclassified
PInj,,,,4,unclassified
snd,,,,4,unclassified
Westerbaan,,,,4,unclassified
absorbl,,,,3,unclassified
Aharonov,,,,3,unclassified
assertOne,,,,3,unclassified
ctrlZ,,,,3,unclassified
factorzr,,,,3,unclassified
FPInj,,,,3,unclassified
Indeterminates,,,,3,unclassified
Jinv,,,,3,unclassified
JoneK,,,,3,unclassified
Junite,,,,3,unclassified
Juniti,,,,3,unclassified
Karvonen,,,,3,unclassified
minusZplus,,,,3,unclassified
parameterised,,,,3,unclassified
premonoidal,,,,3,unclassified
Rennela,,,,3,unclassified
Voichick,,,,3,unclassified
xcxA,,,,3,unclassified
xInv,,,,3,unclassified
3-qubit,,,,2,unclassified
Altenkirch,,,,2,unclassified
arrZidL,,,,2,unclassified
Backens,,,,2,unclassified
basis-changing,,,,2,unclassified
Bichsel,,,,2,unclassified
Chuang,,,,2,unclassified
classicalZ,,,,2,unclassified
ctrlS,,,,2,unclassified
discardL,,,,2,unclassified
FOSSACS,,,,2,unclassified
grover3,,,,2,unclassified
homR,,,,2,unclassified
Horsman,,,,2,unclassified
https,,,,2,unclassified
Huot,,,,2,unclassified
JassertZeroK,,,,2,unclassified
Jfirst,,,,2,unclassified
Jia,,,,2,unclassified
Jsecond,,,,2,unclassified
Kastl,,,,2,unclassified
Laplaza,,,,2,unclassified
linv#l,,,,2,unclassified
Loaiza,,,,2,unclassified
Mannucci,,,,2,unclassified
non-identity,,,,2,unclassified
nonunital,,,,2,unclassified
Nurgalieva,,,,2,unclassified
oneMinusPlus,,,,2,unclassified
Paykin,,,,2,unclassified
Pechoux,,,,2,unclassified
Qunity,,,,2,unclassified
single-qubit,,,,2,unclassified
summarises,,,,2,unclassified
T.cx,,,,2,unclassified
terms--call,,,,2,unclassified
und,,,,2,unclassified
unitor,,,,2,unclassified
Yanofsky,,,,2,unclassified
Zamdzhiev,,,,2,unclassified
zhcx,,,,2,unclassified
1*HInv,,,,1,unclassified
2-qubit,,,,1,unclassified
978-x-xxxx-xxxx-x/YY/MM,,,,1,unclassified
ACM/IEEE,,,,1,unclassified
Agda's,,,,1,unclassified
Akademie-Verlag,,,,1,unclassified
Algebraische,,,,1,unclassified
Anwendungen,,,,1,unclassified
arridL,,,,1,unclassified
arrR,,,,1,unclassified
arrZidR,,,,1,unclassified
arrZR,,,,1,unclassified
AUTHOR(S,,,,1,unclassified
Axelsen,,,,1,unclassified
Baader,,,,1,unclassified
Bakker,,,,1,unclassified
basis--this,,,,1,unclassified
bifunctorial,,,,1,unclassified
big-step,,,,1,unclassified
ccx-gates,,,,1,unclassified
ccxK,,,,1,unclassified
Chao-Hong,,,,1,unclassified
choice--perhaps,,,,1,unclassified
class*>R,,,,1,unclassified
class>*L,,,,1,unclassified
Clifford+T,,,,1,unclassified
coisometries,,,,1,unclassified
Comput,,,,1,unclassified
contextuality,,,,1,unclassified
controlled-controlled-not,,,,1,unclassified
Controlled-NOT,,,,1,unclassified
copyable,,,,1,unclassified
CoreFun,,,,1,unclassified
cs.LO,,,,1,unclassified
cs.PL,,,,1,unclassified
cx-gates,,,,1,unclassified
cxGroup,,,,1,unclassified
diagrammatics,,,,1,unclassified
discardK,,,,1,unclassified
dualising,,,,1,unclassified
e3L,,,,1,unclassified
false,,,,1,unclassified
Gehr,,,,1,unclassified
Gram-Schmidt,,,,1,unclassified
Grover's,,,,1,unclassified
Gruppoide,,,,1,unclassified
H*-algebras,,,,1,unclassified
Hasuo,,,,1,unclassified
here--and,,,,1,unclassified
ihre,,,,1,unclassified
infinite-dimensional,,,,1,unclassified
inv(lift,,,,1,unclassified
inv(zero,,,,1,unclassified
J*K,,,,1,unclassified
J0K,,,,1,unclassified
J1K,,,,1,unclassified
JabsorblK,,,,1,unclassified
JdiscardK,,,,1,unclassified
JdistK,,,,1,unclassified
JfactorK,,,,1,unclassified
JfactorzrK,,,,1,unclassified
Jlift,,,,1,unclassified
Junite+K,,,,1,unclassified
Juniti+K,,,,1,unclassified
Karwowski,,,,1,unclassified
Kategorien,,,,1,unclassified
Kornell,,,,1,unclassified
Leeuwen,,,,1,unclassified
LeFanu,,,,1,unclassified
liftings,,,,1,unclassified
Lindenhovius,,,,1,unclassified
Lumsdaine,,,,1,unclassified
machine-checked,,,,1,unclassified
map4,,,,1,unclassified
measurement-free,,,,1,unclassified
meta-operation,,,,1,unclassified
MFPS,,,,1,unclassified
Mislove,,,,1,unclassified
Modelle,,,,1,unclassified
no-cloning,,,,1,unclassified
non-constructive,,,,1,unclassified
non-linearity,,,,1,unclassified
non-locality,,,,1,unclassified
observables,,,,1,unclassified
one!--but,,,,1,unclassified
operationalised,,,,1,unclassified
pattern-matching,,,,1,unclassified
polylogarithmic,,,,1,unclassified
post-composed,,,,1,unclassified
precomposing,,,,1,unclassified
QPL,,,,1,unclassified
Quantum's,,,,1,unclassified
Quanundrum,,,,1,unclassified
qudits,,,,1,unclassified
qutrits,,,,1,unclassified
QWIRE,,,,1,unclassified
self-duals,,,,1,unclassified
self-interpreter,,,,1,unclassified
Semantics-Based,,,,1,unclassified
semi-simple,,,,1,unclassified
Semirings,,,,1,unclassified
seq21,,,,1,unclassified
SIGPLAN-SIGACT,,,,1,unclassified
Silq,,,,1,unclassified
Simon's,,,,1,unclassified
single-particle,,,,1,unclassified
stage--a,,,,1,unclassified
stand-alone,,,,1,unclassified
STOC,,,,1,unclassified
Studien,,,,1,unclassified
sub)systems,,,,1,unclassified
subnormalised,,,,1,unclassified
subprogram--the,,,,1,unclassified
substates,,,,1,unclassified
swapx,,,,1,unclassified
T.ccx,,,,1,unclassified
T.ctrl,,,,1,unclassified
Thiemann,,,,1,unclassified
this--and,,,,1,unclassified
TLCA,,,,1,unclassified
TOF+H,,,,1,unclassified
Uncomputation,,,,1,unclassified
unitality,,,,1,unclassified
uniterr,,,,1,unclassified
user-level,,,,1,unclassified
Vechev,,,,1,unclassified
Vizzotto,,,,1,unclassified
x-gate,,,,1,unclassified
xcx,,,,1,unclassified
xK,,,,1,unclassified
XXXIV,,,,1,unclassified
Yaoyun,,,,1,unclassified
yet-to-be,,,,1,unclassified
Zdancewic,,,,1,unclassified
Zeilinger,,,,1,unclassified
ZH,,,,1,unclassified
ZH-calculi,,,,1,unclassified
zur,,,,1,unclassified
ZX,,,,1,unclassified
