Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Armando Solar-Lezama,,,,2,Author
Cyrus Omar,,,,2,Author
Steve Zdancewic,,,,2,Author
Bastiaan Heeren,,,,1,Author
Conor McBride,,,,1,Author
Graham Hutton,,,,1,Author
Jean-Philippe Bernardy,,,,1,Author
Johan Jeuring,,,,1,Author
Koen Claessen,,,,1,Author
Leonardo de Moura,,,,1,Author
Matthias Felleisen,,,,1,Author
Nadia Polikarpova,,,,1,Author
Niek Mulleners,,,,1,Author
Niels Bunkenburg,,,,1,Author
Patrik Jansson,,,,1,Author
Robert Bruce Findler,,,,1,Author
Shriram Krishnamurthi,,,,1,Author
Imperial College London,,,,1,Institution
polymorphic,,,,45,Common-term
fold,,,,26,Common-term
ICFP,,Conference,,21,Common-term
K ,,“K axiom”,,21,
ACM,,Association for Computing Machinery,,18,
morphism,,,,15,Common-term
Haskell,,,,13,Common-term programming-language
SIGPLAN,,special interest group on programming languages,,10,
functor,,,,9,Common-term
SMT solver,,Type of tool for solving SMT problems,,9,Tool
symbolic,,,,8,
integer,,,,7,Common-term
quantified,,,,7,Common-term
ref,,,,7,
Reynolds,,,,7,Name
consistency,,Gradual typing,,6,theory
dependent,,,,6,Common-term
recursive,,,,6,Common-term
Wadler,,,,6,Name
zip,,,,6,
Feser,,,,5,
functional programming,,,,5,
recursion,,,,5,Common-term
abstraction,,,,4,Common-term
inductive,,,,4,Common-term
PLDI,,Conference,,4,Common-term
POPL,pop-ill,Conference,,4,Common-term
recursion schemes,,,,4,
decidable,,,,3,
Dependent types,,,,3,types
GHC,,,,3,compiler tool
Gibbons,,,,3,
monomorphic,,,,3,
refinement types,,,,3,
Scheme,,,,3,Common-term programming-language
Agda,,Agda-style,,2,Common-term Programming-language
Bernardy,,,,2,
bidirectional,,,,2,
concat,,concatenation common function,,2,Function
context,,,,2,Common-term
datatype,,,,2,Common-term
inferring,,,,2,
isomorphic,,,,2,Common-term
polymorphism,,,,2,Common-term
quantifier,,,,2,Common-term
relational,,,,2,
SMT ,,,,2,
syntactic,,,,2,Common-term
theorem,,,,2,Common-term
Z3,,Tool to automatically prove theorems,,2,Tool
abstractions,,,,1,
API,A.P.I.,Application Programming Interface,,1,Common-term
