Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Jeremy Yallop,,,,7,Author
Jacques Carette,,,,3,Author
Leo White,,,,3,Author
Andreas Rossberg,,,,2,Author
Anil Madhavapeddy,,,,2,Author
Martin Odersky,,,,2,Author
Ningning Xie,,,,2,Author
Amr Sabry,,,,1,Author
Derek Dreyer,,,,1,Author
Frank Pfenning,Frank “Fenning”,,,1,Author
Gabriel Radanne,,,,1,Author
Jacques Garrigue,,,,1,Author
Martin Elsman,,,,1,Author
Matthias Felleisen,,,,1,Author
Meng Wang,,,,1,Author
Nicolas Wu,,,,1,Author
Ohad Kammar,,,,1,Author
Olivier Danvy,,,,1,researcher
Olivier Nicole,,,,1,Author
Peter Thiemann,,,,1,Author
Simon Peyton Jones,,,,1,Author
Stefan Wehr,,,,1,Author
Carnegie Mellon University,,CMU,,1,Institution
functor,,,,111,Common-term
compile-time,,,,76,Common-term
macro,,,,49,
ACM,,Association for Computing Machinery,,40,
calculus,,Used to describe a core simple programming language,,36,Common-term
staging,,,,32,
context,,,,31,Common-term
expression,,,,26,Common-term
OCaml,,,,23,Common-term programming-language
syntax,,,,18,Common-term
semantics,,,,17,
compiler,,,,16,Common-term
SIGPLAN,,special interest group on programming languages,,16,
heap,,,,14,
monoid,,,,14,Common-term
Power,,,,14,
ML,,,,13,Programming-language
abstraction,,,,12,Common-term
compiled,,,,12,
theorem,,,,12,Common-term
type-check,,,,12,Common-term
ref,,,,11,
recursive,,,,9,Common-term
ICFP,,Conference,,8,Common-term
Kiselyov,,,,8,
operational semantics,,,,8,
subtyping,,,,8,Common-term
well-typed,,,,8,Common-term
functional programming,,,,5,
Haskell,,,,5,Common-term programming-language
modular,,,,5,Common-term
Scheme,,,,5,Common-term programming-language
Template Haskell ,,,,5,tool
type-checked,,,,5,Common-term
instantiation,,,,4,
integer,,,,4,Common-term
Shao,,,,4,
syntactic,,,,4,Common-term
closures,,,,3,Common-term
DSL,,,,3,
dynamic semantics,,,,3,
generic,,,,3,
Go,,,,3,
Id,,,,3,
Leroy,,,,3,Name
MetaOCaml,,,,3,
runtime,,,,3,Common-term
Scala,,,,3,Common-term programming-language
algebras,,,,2,
Appel,,,,2,
composable,,,,2,
dependent,,,,2,Common-term
erasure,,type erasure,,2,Common-term
lemma,,,,2,Common-term
MetaML,,,,2,
metaprogramming,,,,2,Common-term
metatheory,,,,2,Common-term
MLton,I assume “milton”,,,2,
PLDI,,Conference,,2,Common-term
System F,,,,2,Common-term
Trigger,,,,2,
applicative,,,,1,Common-term
automata,,,,1,Common-term
Brady,,,,1,
closure,,,,1,Common-term
conclusion,,,,1,
constructor,,,,1,Common-term
datatype,,,,1,Common-term
Elimination,,,,1,
expressive,,,,1,Common-term
fixpoint,,,,1,Common-term
higher-order,,,,1,Common-term
judgement,,dependent types,,1,theory
K ,,“K axiom”,,1,
lambda calculus,lam-duh calculus,,,1,theory
macro system,,,,1,Common-term
meta-programming,,,,1,
ML-style,,Similar to ML programming language,,1,
Moggi,,,,1,Name
permissions@acm.org,,,,1,email
Plotkin,,Name,,1,name
POPL,pop-ill,Conference,,1,Common-term
precision,,Gradual typing,,1,theory
Racket,racket,Racket programming language,,1,
reflection,,,,1,Common-term
relational,,,,1,
Siek ,,,,1,
SML/NJ,,,,1,
Staged Compilation with Two-Level Type Theory,,,,1,Title
Stirling,,,,1,
subject reduction,,,,1,Common-term
toolchain,,,,1,
type-theoretic,,,,1,Common-term
unification,,,,1,
universe,,dependent types,,1,theory
well-formedness,,,,1,Common-term
MacoCaml,,,,28,unclassified
run-time,,,,24,unclassified
