Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Michael Arntzenius,,,,2,Author
Jan Midtgaard,,,,1,researcher
Magnus Madsen,,,,1,Author
Neel Krishnaswami,,,,1,Author
Olin Shivers,,,,1,Author
Sebastian Erdweg,,,,1,Author
Carnegie Mellon University,,CMU,,1,Institution
derivative,,,,100,
lattice,,,,62,Common-term
K ,,“K axiom”,,53,
monotone,,,,30,Common-term
ICFP,,Conference,,26,Common-term
higher-order,,,,19,Common-term
small-step,,,,17,Common-term
deriving,,,,15,
expression,,,,14,Common-term
ACM,,Association for Computing Machinery,,11,
match,,,,11,
closures,,,,8,Common-term
denotational semantics,,,,8,semantics
closure,,,,7,Common-term
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,7,
semantics,,,,6,
derive,,,,5,
Krishnaswami,,,,5,
monotonic,,,,4,Common-term
SIGPLAN,,special interest group on programming languages,,4,
traversal,,,,4,Common-term
well-typed,,,,4,Common-term
0CFA,,,,3,
compiler,,,,3,Common-term
Control-flow analysis,,,,3,
Elimination,,,,3,
fixpoint,,,,3,Common-term
Gilray,,,,3,
lambda calculus,lam-duh calculus,,,3,theory
monotonicity,,Mathematical property,,3,Common-term
POPL,pop-ill,Conference,,3,Common-term
syntax,,,,3,Common-term
category,,,,2,
functional programming,,,,2,
iterations,,,,2,
ML,,,,2,Programming-language
ND,(natural deduction),,,2,Common-term
paradigm,,,,2,Common-term
PLDI,,Conference,,2,Common-term
precision,,Gradual typing,,2,theory
recursive,,,,2,Common-term
Semantic,,,,2,Common-term
Why,,,,2,
abstraction,,,,1,Common-term
abstractions,,,,1,
array,,,,1,Common-term
calculus,,Used to describe a core simple programming language,,1,Common-term
compiled,,,,1,
conclusion,,,,1,
conjunction,,,,1,
context,,,,1,Common-term
CPS,C.P.S.,abbreviation for continuation-passing style ,,1,
curried,,,,1,
dependent,,,,1,Common-term
derivation,,,,1,
DSL,,,,1,
expressive,,,,1,Common-term
Gen,,,,1,
IncA,,,,1,
induction,,,,1,Common-term
instruction,,,,1,
integer,,,,1,Common-term
let-bound,,,,1,Common-term
pattern matching,,,,1,
Power,,,,1,
quicksort,,Common sorting algorithm,,1,Common-term algorithm sorting
scalability,,,,1,
Shivers,,,,1,
syntactic,,,,1,Common-term
well-formed,,,,1,Common-term
big-join,,,,52,unclassified
xpoint,,,,50,unclassified
non-lattice,,,,44,unclassified
conguration,,,,35,unclassified
congurations,,,,33,unclassified
JK,,,,24,unclassified
big-joins,,,,23,unclassified
congs,,,,20,unclassified
rst,,,,18,unclassified
xpoints,,,,16,unclassified
ecient,,,,14,unclassified
set-singleton,,,,14,unclassified
map-singleton,,,,13,unclassified
set-of-states,,,,13,unclassified
workset,,,,13,unclassified
subterm,,,,12,unclassified
projl,,,,11,unclassified
projr,,,,11,unclassified
envclo,,,,9,unclassified
map-lookup,,,,8,unclassified
S(state,,,,8,unclassified
Fixpoints,,,,7,unclassified
Arntzenius,,,,6,unclassified
derivative-based,,,,6,unclassified
Jbig-join,,,,6,unclassified
Datafun,,,,5,unclassified
Datalog,,,,5,unclassified
dierence,,,,5,unclassified
Expr,,,,5,unclassified
newly-found,,,,5,unclassified
non-bottom,,,,5,unclassified
aect,,,,4,unclassified
Config,,,,4,unclassified
eciently,,,,4,unclassified
inecient,,,,4,unclassified
nite,,,,4,unclassified
semi-naive,,,,4,unclassified
store-widened,,,,4,unclassified
workset-based,,,,4,unclassified
Abiteboul,,,,3,unclassified
aects,,,,3,unclassified
big-step,,,,3,unclassified
CPS-style,,,,3,unclassified
Dataow,,,,3,unclassified
dierent,,,,3,unclassified
letrec,,,,3,unclassified
map-lookups,,,,3,unclassified
niteness,,,,3,unclassified
