Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Matthias Felleisen,,,,5,Author
Michael Ballantyne,,,,4,Author
Robert Bruce Findler,,,,2,Author
Amal Ahmed,,,,1,Author
Amir Shaikhha,,,,1,Author
Amr Sabry,,,,1,Author
Ben Greenman,,,,1,Author
Casper Bach Poulsen,,,,1,Author
Conal Elliott,,,,1,Author
Edwin Brady,,,,1,Author
Jason Hemann,,,,1,Author
Jesper Cockx,,,,1,Author
Leonardo de Moura,,,,1,Author
Lindsey Kuper,,,,1,Author
Martin Odersky,,,,1,Author
Nada Amin,,,,1,Author
Nicolas Wu,,,,1,Author
Olin Shivers,,,,1,Author
Sam Lindley,,,,1,Author
Sebastian Ullrich,,,,1,Author
DSL,,,,98,
Racket,racket,Racket programming language,,81,
compiler,,,,52,Common-term
syntax,,,,40,Common-term
cons,kon-ss,,,31,
macro,,,,22,
relational,,,,18,
compiled,,,,16,
functional programming,,,,15,
embeddings,,,,13,
Elimination,,,,12,
runtime,,,,11,Common-term
context,,,,10,Common-term
semantics,,,,10,
unification,,,,10,
ACM,,Association for Computing Machinery,,9,
expression,,,,9,Common-term
ICFP,,Conference,,9,Common-term
clause,,,,7,
expressive,,,,7,Common-term
host-language,,,,7,Common-term compilers
Power,,,,7,
syntactic,,,,7,Common-term
conjunction,,,,6,
reflection,,,,6,Common-term
Scheme,,,,6,Common-term programming-language
match,,,,5,
metalanguage,,,,5,
pattern matching,,,,5,
Scala,,,,5,Common-term programming-language
Id,,,,4,
Kiselyov,,,,4,
asymptotic,,,,3,Common-term
compile-time,,,,3,Common-term
desugaring,,,,3,Common-term
Haskell,,,,3,Common-term programming-language
higher-order,,,,3,Common-term
macro system,,,,3,Common-term
matching,,“pattern matching”,,3,Common-term
POPL,pop-ill,Conference,,3,Common-term
recursive,,,,3,Common-term
scoped,,,,3,Common-term
abstraction,,,,2,Common-term
combinator,,,,2,Common-term
elaborator reflection,,,,2,
Findler,,,,2,
Idris,,,,2,
nondeterministic,,,,2,
normalizer,,computations,,2,theory
OOPSLA,oops-la,,,2,Conference
Peano,,,,2,
Semantic,,,,2,Common-term
SIGPLAN,,special interest group on programming languages,,2,
stack,,,,2,
symbolic,,,,2,
syntax sugar,,,,2,
theorem,,,,2,Common-term
Ahmed,,,,1,Name
atomic,,,,1,
axioms,,,,1,
backtracking,,,,1,Common-term
boilerplate,,,,1,
Bowman,,,,1,Name
category,,,,1,
closure,,,,1,Common-term
composable,,,,1,
constructor,,,,1,Common-term
CPS,C.P.S.,abbreviation for continuation-passing style ,,1,
datatype,,,,1,Common-term
dependent,,,,1,Common-term
deriving,,,,1,
desugar,,,,1,Common-term
ecosystem,,,,1,
Elixir,,,,1,Common-term programming-language
equational,,,,1,Common-term
formalization,,,,1,Common-term
Gen,,,,1,
Gibbons,,,,1,
Hindley-Milner,,,,1,
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,1,
Lean,,,,1,
linear,,,,1,Common-term
metaprogramming,,,,1,Common-term
monad,Mow-nad,,,1,Common-term
monotonic,,,,1,Common-term
normalization,,computations,,1,theory
object-oriented,,,,1,Common-term paradigm
operational semantics,,,,1,
PL,,,,1,
precision,,Gradual typing,,1,theory
Prop,,,,1,
reduction,,,,1,Common-term
Rust,,,,1,Common-term programming-language
sequential ,,,,1,
staging,,,,1,
Wadler,,,,1,Name
Why,,,,1,
miniKanren,,,,89,unclassified
multi-language,,,,38,unclassified
syntax-spec,,,,33,unclassified
DSLs,,,,26,unclassified
defrel,,,,18,unclassified
matche,,,,16,unclassified
goal-from-expression,,,,15,unclassified
expression-from-term,,,,13,unclassified
expression-from-goal,,,,10,unclassified
absento,,,,8,unclassified
defrel/matche,,,,8,unclassified
faster-miniKanren,,,,8,unclassified
Listof,,,,8,unclassified
new-york-city,,,,8,unclassified
query-facts,,,,8,unclassified
route-m,,,,8,unclassified
disj,,,,7,unclassified
fresh1,,,,7,unclassified
goal-macro,,,,7,unclassified
los-angeles,,,,7,unclassified
rkt-expr,,,,7,unclassified
des-plaines,,,,6,unclassified
printf,,,,6,unclassified
syntax-parser,,,,6,unclassified
unify-query-results,,,,6,unclassified
args,,,,5,unclassified
Boulytchev,,,,5,unclassified
cross-language,,,,5,unclassified
define-extension,,,,5,unclassified
des-moines,,,,5,unclassified
domain-specific,,,,5,unclassified
DSL's,,,,5,unclassified
g:goal,,,,5,unclassified
macro-extensible,,,,5,unclassified
succeed/print,,,,5,unclassified
compile-goal,,,,4,unclassified
Dmitry,,,,4,unclassified
do-query,,,,4,unclassified
Dybvig,,,,4,unclassified
host-interface/expression,,,,4,unclassified
lay1,,,,4,unclassified
lay2,,,,4,unclassified
relation's,,,,4,unclassified
trace-defrel,,,,4,unclassified
wildcardify,,,,4,unclassified
x:term-variable,,,,4,unclassified
a\n,,,,3,unclassified
allow-extension,,,,3,unclassified
arXiv,,,,3,unclassified
binding-class,,,,3,unclassified
compile-pattern,,,,3,unclassified
compile-run,,,,3,unclassified
dead-code,,,,3,unclassified
