Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Lars Birkedal,,,,2,Author
Alexandre Moine,,,,1,Author
Daan Leijen,,,,1,Author
Derek Dreyer,,,,1,Author
Leonardo de Moura,,,,1,Author
Ningning Xie,,,,1,Author
Ralf Jung,,,,1,Author
Robbert Krebbers,,,,1,Author
 Independent,,,,6,Institution
 Meta,,,,6,Institution
 EPFL,,,,1,Institution
backtracking,,,,53,Common-term
ACM,,Association for Computing Machinery,,49,
API,A.P.I.,Application Programming Interface,,39,Common-term
OCaml,,,,30,Common-term programming-language
ref,,,,24,
diff,,,,19,
type-checker,,,,17,Common-term
array,,,,16,Common-term
Pottier,,,,11,
Iris,,,,10,theorem-proving tool
separation logic,,,,10,Common-term
unification,,,,10,
Rust,,,,9,Common-term programming-language
Coq,“Coq”,,,8,Common-term programming-language theorem-prover
ghost,,,,8,
linear,,,,8,Common-term
GADT,Gad-it,Generalized algebraic data types,,7,Common-term
generic,,,,7,
integer,,,,7,Common-term
ML,,,,7,Programming-language
amortized,,amortized analyses,,6,Common-term
stack,,,,6,
backtrack,,,,5,Common-term
conjunction,,,,5,
context,,,,5,Common-term
functional programming,,,,5,
iterations,,,,5,
runtime,,,,5,Common-term
Scala,,,,5,Common-term programming-language
System F,,,,5,Common-term
capability,,,,4,
expressive,,,,4,Common-term
Go,,,,4,
SIGPLAN,,special interest group on programming languages,,4,
Why,,,,4,
abstraction,,,,3,Common-term
acyclic,,,,3,Common-term
algorithmic,,,,3,Common-term
codebase,,,,3,Common-term
compiler,,,,3,Common-term
Haskell,,,,3,Common-term programming-language
match,,,,3,
mutation,,,,3,
SMT ,,,,3,
synthetic,,,,3,
tries,"Sometimes tries sometimes trees, I think",Prefix tree data structure,,3,
allocations,,,,2,Common-term
combinator,,,,2,Common-term
conclusion,,,,2,
datatype,,,,2,Common-term
ecosystem,,,,2,
expression,,,,2,Common-term
functor,,,,2,Common-term
GHC,,,,2,compiler tool
heterogeneous,,,,2,
higher-order,,,,2,Common-term
ICFP,,Conference,,2,Common-term
immutable,,,,2,Common-term
JavaScript,,,,2,Common-term programming-language
linear types,,,,2,Common-term
polymorphic,,,,2,Common-term
recursive,,,,2,Common-term
Reynolds,,,,2,Name
SAT,,Type of problem,,2,term
SMT solver,,Type of tool for solving SMT problems,,2,Tool
theorem,,,,2,Common-term
Threadripper,,,,2,Hardware
type checker,,,,2,Common-term
well-typed,,,,2,Common-term
Z3,,Tool to automatically prove theorems,,2,Tool
algebraic effects,,,,1,
aliasing,,,,1,
applicative,,,,1,Common-term
asymptotic,,,,1,Common-term
Boolean,,,,1,
calculus,,Used to describe a core simple programming language,,1,Common-term
Call-by-Value,,(CBV),,1,Common-term evaluation
callback,,,,1,
clause,,,,1,
coherence,,,,1,
concurrency,,,,1,Common-term
concurrent,,,,1,Common-term
constraint solver,,,,1,
constructor,,,,1,Common-term
contextual,,,,1,Common-term
continuation,,,,1,
de Moura,,,,1,
deductive,,,,1,
Dependent types,,,,1,types
garbage-collected,,,,1,
heap,,,,1,
Hindley-Milner,,,,1,
Java,,,,1,
Koka,,,,1,Programming-language
macro,,,,1,
matching,,“pattern matching”,,1,Common-term
modular,,,,1,Common-term
monotone,,,,1,Common-term
normalized,,,,1,Common-term
PLDI,,Conference,,1,Common-term
Ryzen,,,,1,Hardware
sequential ,,,,1,
tail-recursive,,,,1,
type-checked,,,,1,Common-term
untyped,,,,1,
Snapshottable,,,,41,unclassified
Union-Find,,,,36,unclassified
semi-persistent,,,,33,unclassified
TransactionalRef,,,,32,unclassified
BacktrackingRef,,,,28,unclassified
Colibri2,,,,28,unclassified
Capture-heavy,,,,19,unclassified
type-checking,,,,12,unclassified
GADTs,,,,10,unclassified
Sudoku,,,,10,unclassified
abort-only,,,,9,unclassified
microbenchmarks,,,,9,unclassified
r.value,,,,9,unclassified
semi-persistence,,,,9,unclassified
get/set,,,,8,unclassified
non-elided,,,,8,unclassified
use-case,,,,8,unclassified
use-cases,,,,8,unclassified
commit-only,,,,7,unclassified
Conchon,,,,7,unclassified
Filliatre,,,,7,unclassified
new_val,,,,7,unclassified
Ref.set,,,,7,unclassified
Baker's,,,,6,unclassified
Chargueraud,,,,6,unclassified
Demaine,,,,6,unclassified
explicitly-typed,,,,6,unclassified
new_root,,,,6,unclassified
old_val,,,,6,unclassified
s.generation,,,,6,unclassified
capture/restore,,,,5,unclassified
Diff(r,,,,5,unclassified
