Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Lars Birkedal,,,,17,Author
Derek Dreyer,,,,7,Author
Robbert Krebbers,,,,5,Author
Ugo Dal Lago,,,,5,Author
Joseph Tassarotti,,,,4,Author
Alejandro Aguirre,,,,3,Author
Amin Timany,,,,3,Author
Gilles Barthe,,,,3,Author
Ralf Jung,,,,3,Author
Simon Oddershede Gregersen,,,,3,Author
Amal Ahmed,,,,2,Author
Filip Sieczkowski,,,,2,Author
Naoki Kobayashi,,,,2,Author
Simon Spies,,,,2,Author
Guillaume Melquiond,,,,1,Author
Jonas Kastberg Hinrichsen,,,,1,Author
Neel Krishnaswami,,,,1,Author
Peter Thiemann,,,,1,Author
 Independent,,,,2,Institution
probabilistic,,,,83,Common-term
stack,,,,60,
higher-order,,,,48,Common-term
modality,,,,38,Common-term
probability,,,,37,Common-term
recursion,,,,37,Common-term
induction,,,,29,Common-term
separation logic,,,,27,Common-term
ACM,,Association for Computing Machinery,,26,
lemma,,,,26,Common-term
theorem,,,,22,Common-term
Ret,,,,18,
Iris,,,,17,theorem-proving tool
AST ,A.S.T.,Abstract Syntax Tree,,15,
distribution,,,,15,
POPL,pop-ill,Conference,,15,Common-term
recursive,,,,15,Common-term
ref,,,,14,
relational,,,,11,
concurrent,,,,10,Common-term
step-indexed,,“step-indexed logical relations” “step-indexed logics” “step-indexed reasoning”,,9,Common-term
semantics,,,,8,
modalities,,,,7,Common-term
Non-determinism,,,,7,Common-term
stochastic,Stow-kas-tick,,,7,Common-term statistics
transfinite,,,,7,
constructor,,,,6,Common-term
Coq,“Coq”,,,6,Common-term programming-language theorem-prover
refinements,,,,6,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,5,
monadic,Mow-nad-ick,,,5,
Pottier,,,,5,
combinator,,,,4,Common-term
contextual,,,,4,Common-term
ghost,,,,4,
logical relation,,,,4,Common-term
match,,,,4,
monotone,,,,4,Common-term
recursion schemes,,,,4,
runtime,,,,4,Common-term
Semantic,,,,4,Common-term
syntactic,,,,4,Common-term
amortized,,amortized analyses,,3,Common-term
Appel,,,,3,
composable,,,,3,
decidable,,,,3,
expression,,,,3,Common-term
generic,,,,3,
Hoare,Like “horse”,,,3,Name
ICFP,,Conference,,3,Common-term
inductive,,,,3,Common-term
iterations,,,,3,
lambda calculus,lam-duh calculus,,,3,theory
noninterference,,,,3,Common-term
SIGPLAN,,special interest group on programming languages,,3,
symbolic,,,,3,
abstraction,,,,2,Common-term
abstractions,,,,2,
Aguirre,,,,2,
Barthe,,,,2,
Bernoulli,,,,2,
Boolean,,,,2,
calculi,,,,2,
calculus,,Used to describe a core simple programming language,,2,Common-term
conclusion,,,,2,
concurrency,,,,2,Common-term
context,,,,2,Common-term
Dirac distribution,,,,2,
Elimination,,,,2,
erasure,,type erasure,,2,Common-term
heap,,,,2,
model checking,,Automatic theorem proving,,2,technique tool
modular,,,,2,Common-term
nondeterminism,,,,2,
nondeterministic,,,,2,
PLDI,,Conference,,2,Common-term
Reynolds,,,,2,Name
Tarski,,,,2,
transition system,,,,2,
Why,,,,2,
Abel,,,,1,Name
adjoint,,,,1,theory
angelic ,,,,1,
atomicity,,,,1,Common-term
automata,,,,1,Common-term
Call-by-Value,,(CBV),,1,Common-term evaluation
closures,,,,1,Common-term
conjunction,,,,1,
continuation,,,,1,
continuation-passing style,,,,1,
derive,,,,1,
deriving,,,,1,
discrete,,,,1,
divergence,,,,1,Common-term
domain theory,,,,1,Common-term
entailment,,,,1,
fixpoint,,,,1,Common-term
fold,,,,1,Common-term
functional programming,,,,1,
Hsu,,,,1,
intersection types,,,,1,Common-term
K ,,“K axiom”,,1,
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,1,
linear,,,,1,Common-term
modal,,,,1,
modularity,,,,1,Common-term
monad,Mow-nad,,,1,Common-term
monoids,,,,1,Common-term
monotonicity,,Mathematical property,,1,Common-term
Prop,,,,1,
ReLoC ,,Logical relations in iris,,1,
Small-step operational semantics,,,,1,
syntax,,,,1,Common-term
synthetic,,,,1,
traversal,,,,1,Common-term
well-typed,,,,1,Common-term
rwp,,,,69,unclassified
Almost-Sure,,,,39,unclassified
presampling,,,,17,unclassified
listgen,,,,16,unclassified
false,,,,12,unclassified
Galton-Watson,,,,12,unclassified
almost-surely,,,,11,unclassified
left-partial,,,,11,unclassified
termination-preserving,,,,11,unclassified
treap,,,,11,unclassified
cmpList,,,,10,unclassified
getB,,,,9,unclassified
cmp,,,,8,unclassified
https,,,,8,unclassified
lazily-sampled,,,,8,unclassified
non-probabilistic,,,,8,unclassified
unif,,,,8,unclassified
Comput,,,,7,unclassified
ETAPS,,,,7,unclassified
first-order,,,,7,unclassified
genTree,,,,7,unclassified
IsTreap,,,,7,unclassified
Kaminski,,,,7,unclassified
LazyReal,,,,7,unclassified
non-terminating,,,,7,unclassified
PHORS,,,,7,unclassified
rwp-coupl-rand,,,,7,unclassified
Bizjak,,,,6,unclassified
Cmps,,,,6,unclassified
Gregersen,,,,6,unclassified
ProbLang,,,,6,unclassified
sampleNode,,,,6,unclassified
Birkedal,,,,5,unclassified
Cfg,,,,5,unclassified
iProp,,,,5,unclassified
later-mono,,,,5,unclassified
McIver,,,,5,unclassified
spec(false,,,,5,unclassified
Chakarov,,,,4,unclassified
exec-1,,,,4,unclassified
Frumin,,,,4,unclassified
Grellois,,,,4,unclassified
Joost-Pieter,,,,4,unclassified
Katoen,,,,4,unclassified
Nakano,,,,4,unclassified
non-deterministic,,,,4,unclassified
ref-model-prog,,,,4,unclassified
rwp-spec-det,,,,4,unclassified
Sankaranarayanan,,,,4,unclassified
spec(true,,,,4,unclassified
Tassarotti,,,,4,unclassified
Timany,,,,4,unclassified
treaps,,,,4,unclassified
