Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Derek Dreyer,,,,6,Author
Lars Birkedal,,,,6,Author
Robbert Krebbers,,,,6,Author
Youngju Song,,,,4,Author
Ralf Jung,,,,3,Author
Dongjae Lee,,,,2,Author
Simon Spies,,,,2,Author
Adam Chlipala,,,,1,Author
Amin Timany,,,,1,Author
Filip Sieczkowski,,,,1,Author
Frank Pfenning,Frank “Fenning”,,,1,Author
Li-yao Xia,,,,1,Author
Mike Dodds,,,,1,Author
Robert Dockins,,,,1,Author
Steve Zdancewic,,,,1,Author
Yannick Zakowski,,,,1,Author
 Independent,,,,1,Institution
refinements,,,,59,
axioms,,,,47,
ACM,,Association for Computing Machinery,,45,
Iris,,,,34,theorem-proving tool
modality,,,,34,Common-term
separation logic,,,,32,Common-term
semantics,,,,29,
succ,,,,17,
K ,,“K axiom”,,12,
calculus,,Used to describe a core simple programming language,,11,Common-term
POPL,pop-ill,Conference,,11,Common-term
angelic ,,,,10,
homomorphism,,,,10,Common-term
Non-determinism,,,,10,Common-term
axiom,,,,9,
modular,,,,9,Common-term
operational semantics,,,,9,
entailment,,,,8,
pointer,,,,8,Common-term
algebra,,,,7,
concurrent,,,,7,Common-term
conjunction,,,,7,
relational,,,,7,
Semantic,,,,7,Common-term
Shao,,,,7,
concurrency,,,,6,Common-term
contextual,,,,6,Common-term
linear,,,,6,Common-term
Prop,,,,6,
Why,,,,6,
Coq,“Coq”,,,5,Common-term programming-language theorem-prover
derive,,,,5,
weakening,,,,5,Common-term
abstraction,,,,4,Common-term
Appel,,,,4,
lemma,,,,4,Common-term
theorem,,,,4,Common-term
compiler,,,,3,Common-term
context,,,,3,Common-term
higher-order,,,,3,Common-term
match,,,,3,
matching,,“pattern matching”,,3,Common-term
monotonicity,,Mathematical property,,3,Common-term
recursive,,,,3,Common-term
SIGPLAN,,special interest group on programming languages,,3,
adjoint,,,,2,theory
algebras,,,,2,
CompCert,,A certified compiler,,2,
demonic,,,,2,
Dijkstra,,,,2,
functional programming,,,,2,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,2,
integer,,,,2,Common-term
Leroy,,,,2,Name
Liang,,,,2,Name
Meta-level,,,,2,Common-term
modalities,,,,2,Common-term
monad,Mow-nad,,,2,Common-term
recursion,,,,2,Common-term
ReLoC ,,Logical relations in iris,,2,
syntactic,,,,2,Common-term
algebraic effects,,,,1,
atomicity,,,,1,Common-term
callee,,,,1,Common-term
cast,,Gradual typing,,1,theory
CertiKOS,,“Certified Kit Operating System”,,1,
composable,,,,1,
concat,,concatenation common function,,1,Function
conclusion,,,,1,
definitionally,,,,1,theory
divergence,,,,1,Common-term
Elimination,,,,1,
formalization,,,,1,Common-term
Go,,,,1,
I/O,“eye-oh”,,,1,
ICFP,,Conference,,1,Common-term
idempotent,,,,1,Common-term
instruction,,,,1,
Iris proof mode,,,,1,
iterator,,,,1,Common-term
macro,,,,1,
monoids,,,,1,Common-term
monolithic,,,,1,
monotone,,,,1,Common-term
O'Hearn,,,,1,Name
object-oriented,,,,1,Common-term paradigm
OS,operating system,,,1,
