Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Sam Lindley,,,,4,Author
Daan Leijen,,,,3,Author
Wei-Ngan Chin,,,,3,Author
Hiroshi Unno,,,,2,Author
Olivier Danvy,,,,2,researcher
Taro Sekiyama,,,,2,Author
Amin Timany,,,,1,Author
Amr Sabry,,,,1,Author
Andreas Rossberg,,,,1,Author
Anil Madhavapeddy,,,,1,Author
Armando Solar-Lezama,,,,1,Author
Darius Foo,,,,1,Author
Dariusz Biernacki,Dariush /ˈdarʲjuʃ/ Biernacki,,,1,Author
Gabriel Scherer,,,,1,Author
Giuseppe Castagna,,,,1,Author
Ilya Sergey,,,,1,Author
James Koppel,,,,1,Author
Lars Birkedal,,,,1,Author
Leo White,,,,1,Author
Marek Materzok,,,,1,Author
Meng Wang,,,,1,Author
Minh Nguyen,,,,1,Author
Neel Krishnaswami,,,,1,Author
Nicolas Wu,,,,1,Author
Ohad Kammar,,,,1,Author
Roly Perera,,,,1,Author
Stephen Dolan,,,,1,Author
Yahui Song,,,,1,Author
Zhenjiang Hu,,,,1,Author
algebraic effects,,,,49,
K ,,“K axiom”,,47,
continuation,,,,44,
semantics,,,,42,
entailment,,,,41,
reduction,,,,38,Common-term
match,,,,31,
heap,,,,27,
lemma,,,,25,Common-term
effect handlers,,,,21,
ref,,,,21,
ACM,,Association for Computing Machinery,,20,
Eff,,,,20,
callee,,,,17,Common-term
separation logic,,,,17,Common-term
theorem,,,,17,Common-term
recursion,,,,16,Common-term
Ret,,,,16,
higher-order,,,,15,Common-term
inductive,,,,15,Common-term
normalization,,computations,,14,theory
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,13,
effectful,,,,12,
induction,,,,11,Common-term
normalized,,,,11,Common-term
Pottier,,,,10,
Pretnar,,,,10,
syntax,,,,10,Common-term
recursive,,,,9,Common-term
forall,,quantifier,,8,Common-term logic
modular,,,,8,Common-term
operational semantics,,,,8,
functional programming,,,,7,
Boolean,,,,6,
clause,,,,6,
effect handler,,,,6,
Plotkin,,Name,,6,name
SIGPLAN,,special interest group on programming languages,,6,
concurrent,,,,5,Common-term
expression,,,,5,Common-term
monad,Mow-nad,,,5,Common-term
OCaml,,,,5,Common-term programming-language
backtracking,,,,4,Common-term
integer,,,,4,Common-term
probabilistic,,,,4,Common-term
sequential ,,,,4,
calculus,,Used to describe a core simple programming language,,3,Common-term
closures,,,,3,Common-term
conclusion,,,,3,
conjunction,,,,3,
derive,,,,3,
higher-order function,,,,3,
ICFP,,Conference,,3,Common-term
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,3,
pointer,,,,3,Common-term
POPL,pop-ill,Conference,,3,Common-term
SMT ,,,,3,
symbolic,,,,3,
Z3,,Tool to automatically prove theorems,,3,Tool
abstraction,,,,2,Common-term
angelic ,,,,2,
call/cc,,Call with current continuation,,2,Common-term
context,,,,2,Common-term
de Moura,,,,2,
decidable,,,,2,
derivation,,,,2,
existentials,,quantification,,2,Common-term logic
generic,,,,2,
Honda,,,,2,
immutable,,,,2,Common-term
Kiselyov,,,,2,
Moggi,,,,2,Name
nondeterminism,,,,2,
object-oriented,,,,2,Common-term paradigm
protocol,,,,2,
runtime,,,,2,Common-term
type-and-effect system,,,,2,
Wadler,,,,2,Name
abstractions,,,,1,
Call-by-Value,,(CBV),,1,Common-term evaluation
closure,,,,1,Common-term
compile-time,,,,1,Common-term
defunctionalization,,,,1,
dependent,,,,1,Common-term
deriving,,,,1,
equational,,,,1,Common-term
equational theory,,,,1,Common-term
Hoare logic,,,,1,Common-term
instantiation,,,,1,
iterator,,,,1,Common-term
Koka,,,,1,Programming-language
lambda-calculus,,,,1,Common-term
Levy,,,,1,
modularity,,,,1,Common-term
MSFP@ETAPS,,,,1,email
Multicore,,,,1,
Multicore OCaml,,,,1,
OOPSLA,oops-la,,,1,Conference
PLDI,,Conference,,1,Common-term
polymorphic,,,,1,Common-term
Power,,,,1,
precision,,Gradual typing,,1,theory
quantified,,,,1,Common-term
reduction relation,,,,1,
