Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Graham Hutton,,,,3,Author
Simon Peyton Jones,,,,3,Author
Derek Dreyer,,,,2,Author
Ilya Sergey,,,,2,Author
Joachim Breitner,,,,2,Author
Lars Birkedal,,,,2,Author
Niki Vazou,,,,2,Author
Ralf Jung,,,,2,Author
Robbert Krebbers,,,,2,Author
Stephanie Weirich,,,,2,Author
Yao Li,,,,2,Author
Amr Sabry,,,,1,Author
Joseph Tassarotti,,,,1,Author
Koen Claessen,,,,1,Author
Leonidas Lampropoulos,,,,1,Author
Li-yao Xia,,,,1,Author
Matthias Felleisen,,,,1,Author
Nicolas Tabareau,nikola tabaro,,,1,Author
Nils Anders Danielsson,,,,1,Author
Norman Danner,,,,1,Author
Simon Spies,,,,1,Author
Tom Schrijvers,,,,1,Author
Yannick Forster,,,,1,Author
 Queen Mary University of London,,,,1,Institution
University of California,,,,1,Institution
semantics,,,,106,
thunk,,,,62,Common-term evaluation
ACM,,Association for Computing Machinery,,59,
amortized,,amortized analyses,,36,Common-term
ICFP,,Conference,,36,Common-term
nil,,,,33,
cons,kon-ss,,,32,
theorem,,,,31,Common-term
K ,,“K axiom”,,16,
lemma,,,,14,Common-term
recursive,,,,14,Common-term
calculus,,Used to describe a core simple programming language,,13,Common-term
laziness,,,,12,
match,,,,12,
Ret,,,,12,
Haskell,,,,10,Common-term programming-language
bidirectional,,,,9,
Coq,“Coq”,,,8,Common-term programming-language theorem-prover
functional programming,,,,8,
derive,,,,7,
fixpoint,,,,7,Common-term
force,,,,7,Common-term evaluation
higher-order,,,,7,Common-term
Call-by-Value,,(CBV),,6,Common-term evaluation
modular,,,,6,Common-term
POPL,pop-ill,Conference,,6,Common-term
Iris,,,,5,theorem-proving tool
monad,Mow-nad,,,5,Common-term
monadic,Mow-nad-ick,,,5,
Pottier,,,,5,
denotational semantics,,,,4,semantics
forall,,quantifier,,4,Common-term logic
inductive,,,,4,Common-term
separation logic,,,,4,Common-term
symbolic,,,,4,
compiler,,,,3,Common-term
constructor,,,,3,Common-term
GHC,,,,3,compiler tool
Handley,,,,3,
monotone,,,,3,Common-term
OCaml,,,,3,Common-term programming-language
