Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Zhenjiang Hu,,,,2,Author
Edwin Brady,,,,1,Author
Hideya Iwasaki,,,,1,Author
Koen Claessen,,,,1,Author
Leonardo de Moura,,,,1,Author
Ranjit Jhala,,,,1,Author
Ruyi Ji,,,,1,Author
Sebastian Ullrich,,,,1,Author
Shachar Itzhaky,,,,1,Author
Wei-Ngan Chin,,,,1,Author
lemma,,,,105,Common-term
ACM,,Association for Computing Machinery,,39,
inductive,,,,39,Common-term
induction,,,,24,Common-term
equational,,,,21,Common-term
e-graphs,,,,17,
cons,kon-ss,,,10,
K ,,“K axiom”,,10,
match,,,,10,
recursive,,,,9,Common-term
nil,,,,8,
theorem,,,,8,Common-term
backtracking,,,,6,Common-term
constructor,,,,6,Common-term
datatype,,,,6,Common-term
Reynolds,,,,6,Name
context,,,,5,Common-term
derivation,,,,5,
reduction,,,,5,Common-term
separation logic,,,,5,Common-term
bidirectional,,,,4,
Bird ,,,,4,
SMT ,,,,4,
AST ,A.S.T.,Abstract Syntax Tree,,3,
closure,,,,3,Common-term
expressiveness,,,,3,Common-term
filter,,,,3,
POPL,pop-ill,Conference,,3,Common-term
syntactic,,,,3,Common-term
borrows,,,,2,
congruence,,,,2,Common-term
de Moura,,,,2,
enumeration,,,,2,Common-term
expressive,,,,2,Common-term
formalization,,,,2,Common-term
functional programming,,,,2,
Idris,,,,2,
integer,,,,2,Common-term
Peyton Jones,,,,2,Name
reduction relation,,,,2,
SIGPLAN,,special interest group on programming languages,,2,
SMT solver,,Type of tool for solving SMT problems,,2,Tool
syntax,,,,2,Common-term
tries,"Sometimes tries sometimes trees, I think",Prefix tree data structure,,2,
Wadler,,,,2,Name
Why,,,,2,
algebra,,,,1,
algorithmic,,,,1,Common-term
axiom,,,,1,
Boolean,,,,1,
Chalmers University of Technology,,,,1,Institute
compiler,,,,1,Common-term
CPU,,,,1,
deductive,,,,1,
dependent,,,,1,Common-term
dependently-typed,,,,1,types
divergence,,,,1,Common-term
Go,,,,1,
Haskell,,,,1,Common-term programming-language
higher-order,,,,1,Common-term
ICFP,,Conference,,1,Common-term
Idris 2,,,,1,
Isabelle,,,,1,
Lean,,,,1,
model checking,,Automatic theorem proving,,1,technique tool
OOPSLA,oops-la,,,1,Conference
Pascal,,,,1,
Peano,,,,1,
PLDI,,Conference,,1,Common-term
polymorphic,,,,1,Common-term
Prop,,,,1,
recursion,,,,1,Common-term
reflexivity,,,,1,Common-term
Rosen,,,,1,
Rust,,,,1,Common-term programming-language
scalability,,,,1,
simply-typed,,,,1,Common-term
well-typed,,,,1,Common-term
Zhu,,,,1,
CCLemma,,,,73,unclassified
e-graph,,,,68,unclassified
IH,,,,34,unclassified
e-classes,,,,26,unclassified
e-class,,,,22,unclassified
HipSpec,,,,22,unclassified
TheSy,,,,18,unclassified
half_double,,,,17,unclassified
IsaPlanner,,,,17,unclassified
add_right,,,,16,unclassified
CVC4,,,,16,unclassified
c-vecs,,,,15,unclassified
case-split,,,,14,unclassified
isEven,,,,12,unclassified
EqSat,,,,11,unclassified
goal-directed,,,,11,unclassified
Willsey,,,,10,unclassified
sub-goals,,,,9,unclassified
Johansson,,,,8,unclassified
qrev,,,,8,unclassified
Claessen,,,,7,unclassified
Rewr,,,,7,unclassified
Singher,,,,7,unclassified
terms(c,,,,7,unclassified
CCLemma's,,,,6,unclassified
Itzhaky,,,,6,unclassified
Kuncak,,,,6,unclassified
Sonnex,,,,6,unclassified
c-vec,,,,5,unclassified
ConjConnectorLemmas,,,,5,unclassified
EGraph,,,,5,unclassified
Fleuriot,,,,5,unclassified
sub-goal,,,,5,unclassified
sub-terms,,,,5,unclassified
automata-theoretic,,,,4,unclassified
case-splits,,,,4,unclassified
case-splitting,,,,4,unclassified
cvec(c,,,,4,unclassified
e-nodes,,,,4,unclassified
Hajdu,,,,4,unclassified
sub-term,,,,4,unclassified
Voronkov,,,,4,unclassified
AdtInd,,,,3,unclassified
bottom-up,,,,3,unclassified
classes(E,,,,3,unclassified
CycleQ,,,,3,unclassified
eg(L,,,,3,unclassified
EqSat-based,,,,3,unclassified
IH(L,,,,3,unclassified
is(k,,,,3,unclassified
right_zero,,,,3,unclassified
scrutinee,,,,3,unclassified
Tatlock,,,,3,unclassified
TheSy's,,,,3,unclassified
universally-quantified,,,,3,unclassified
vars(M,,,,3,unclassified
Yisu,,,,3,unclassified
Bjorner,,,,2,unclassified
Brotherston,,,,2,unclassified
Chandrakana,,,,2,unclassified
Cruanes,,,,2,unclassified
E[M,,,,2,unclassified
False,,,,2,unclassified
Farzan,,,,2,unclassified
first-order,,,,2,unclassified
G.L,,,,2,unclassified
G.R,,,,2,unclassified
Goal-Directedness,,,,2,unclassified
Heras,,,,2,unclassified
HozzovA,,,,2,unclassified
MarkInactive(G,,,,2,unclassified
MarkSolved(G,,,,2,unclassified
MArton,,,,2,unclassified
Mi1,,,,2,unclassified
Mi2,,,,2,unclassified
Mij,,,,2,unclassified
Mrj,,,,2,unclassified
Murali,,,,2,unclassified
NextGoal(G,,,,2,unclassified
Norell,,,,2,unclassified
OOPSLA2,,,,2,unclassified
prod*x,,,,2,unclassified
RQ1,,,,2,unclassified
RQ2,,,,2,unclassified
saturate(E,,,,2,unclassified
semi-concrete,,,,2,unclassified
SIGPLAN-SIGACT,,,,2,unclassified
Sivaraman,,,,2,unclassified
size-change,,,,2,unclassified
Sorin,,,,2,unclassified
Sub-second,,,,2,unclassified
subterm,,,,2,unclassified
user-provided,,,,2,unclassified
vars(N,,,,2,unclassified
Aarti,,,,1,unclassified
accumulator-based,,,,1,unclassified
ACL2,,,,1,unclassified
add:4,,,,1,unclassified
Adithya,,,,1,unclassified
advantages--e.g,,,,1,unclassified
Aishwarya,,,,1,unclassified
Akash,,,,1,unclassified
Akihiko,,,,1,unclassified
ASTs,,,,1,unclassified
AUTHOR(S,,,,1,unclassified
auto-completion,,,,1,unclassified
axuiliary,,,,1,unclassified
Azadeh,,,,1,unclassified
Baader,,,,1,unclassified
Ben-Amram,,,,1,unclassified
benchmarks--while,,,,1,unclassified
Benzmuller,,,,1,unclassified
blue)--which,,,,1,unclassified
Branch-wise,,,,1,unclassified
Bretton,,,,1,unclassified
c-vec--is,,,,1,unclassified
C[M,,,,1,unclassified
C[N,,,,1,unclassified
Case-Split(G,,,,1,unclassified
categories.1,,,,1,unclassified
CCLemma.2,,,,1,unclassified
Cezary,,,,1,unclassified
Chanh,,,,1,unclassified
Christof,,,,1,unclassified
classes(E).M,,,,1,unclassified
Coen,,,,1,unclassified
commonly-used,,,,1,unclassified
commonsubterm,,,,1,unclassified
Comput,,,,1,unclassified
ConjConnectorLemmas(E,,,,1,unclassified
ConjConnectorLemmas(G,,,,1,unclassified
cs.LO,,,,1,unclassified
cs.PL,,,,1,unclassified
CVC,,,,1,unclassified
CVC4's,,,,1,unclassified
CVC5,,,,1,unclassified
cvec(E[x,,,,1,unclassified
D'Souza,,,,1,unclassified
Data-driven,,,,1,unclassified
decending,,,,1,unclassified
Decomposition-Based,,,,1,unclassified
Deepak,,,,1,unclassified
descreasing,,,,1,unclassified
design--is,,,,1,unclassified
Dillig,,,,1,unclassified
Dimakis,,,,1,unclassified
Divide-and-Conquer-Like,,,,1,unclassified
down--even,,,,1,unclassified
Drossopoulou,,,,1,unclassified
e-claseses,,,,1,unclassified
e-classes--sets,,,,1,unclassified
E-graph-based,,,,1,unclassified
E-Matching,,,,1,unclassified
E.c,,,,1,unclassified
E.terms(c,,,,1,unclassified
eg(M,,,,1,unclassified
eg(Mi,,,,1,unclassified
Eion,,,,1,unclassified
Eisenbach,,,,1,unclassified
equal--represented,,,,1,unclassified
Eytan,,,,1,unclassified
Fedyukovich,,,,1,unclassified
figure--called,,,,1,unclassified
fixpoints,,,,1,unclassified
Flatt,,,,1,unclassified
FMCAD,,,,1,unclassified
foldr,,,,1,unclassified
FPCA,,,,1,unclassified
fst,,,,1,unclassified
functions.3,,,,1,unclassified
functions:8,,,,1,unclassified
G.E,,,,1,unclassified
G.IH,,,,1,unclassified
Ganesh,,,,1,unclassified
Ganzinger,,,,1,unclassified
Generalize(M,,,,1,unclassified
generation--and,,,,1,unclassified
Givry,,,,1,unclassified
global--in,,,,1,unclassified
goal-oriented,,,,1,unclassified
Gopalakrishnan,,,,1,unclassified
gray)--created,,,,1,unclassified
Grigory,,,,1,unclassified
Guldstrand,,,,1,unclassified
half--and,,,,1,unclassified
Haskell-like,,,,1,unclassified
HipSpec's,,,,1,unclassified
https,,,,1,unclassified
hypothesis--to,,,,1,unclassified
if-then-else,,,,1,unclassified
IH's,,,,1,unclassified
Isil,,,,1,unclassified
IsProven(G,,,,1,unclassified
Kaliszyk,,,,1,unclassified
Khoo,,,,1,unclassified
Kohlhase,,,,1,unclassified
Komendantskaya,,,,1,unclassified
Launchbury,,,,1,unclassified
left-to-right,,,,1,unclassified
Leino,,,,1,unclassified
lemmas--it,,,,1,unclassified
lemmas--the,,,,1,unclassified
lemmas--those,,,,1,unclassified
lemmas--to,,,,1,unclassified
lemmas--we,,,,1,unclassified
lemmas.12,,,,1,unclassified
LHSs,,,,1,unclassified
list--prod--as,,,,1,unclassified
Loding,,,,1,unclassified
Madhusudan,,,,1,unclassified
Masato,,,,1,unclassified
match(S,,,,1,unclassified
match(Z,,,,1,unclassified
Mendonca,,,,1,unclassified
merged.6,,,,1,unclassified
Mihaela,,,,1,unclassified
Mij+1,,,,1,unclassified
Millstein,,,,1,unclassified
Model-guided,,,,1,unclassified
Moura,,,,1,unclassified
Mumbai,,,,1,unclassified
naive11,,,,1,unclassified
Nat.mult,,,,1,unclassified
new--several,,,,1,unclassified
Nikolaj,,,,1,unclassified
non-destructive,,,,1,unclassified
non-equational,,,,1,unclassified
Oege,,,,1,unclassified
on-the-fly,,,,1,unclassified
OYSTER-CLAM,,,,1,unclassified
Panchekha,,,,1,unclassified
ParentLemma(G,,,,1,unclassified
Ph.D,,,,1,unclassified
Phitchaya,,,,1,unclassified
Phothilimthana,,,,1,unclassified
Platzer,,,,1,unclassified
Proof-pattern,,,,1,unclassified
property--in,,,,1,unclassified
property.7,,,,1,unclassified
proposition--and,,,,1,unclassified
Prove(R,,,,1,unclassified
prove--but,,,,1,unclassified
proven--and,,,,1,unclassified
provers--such,,,,1,unclassified
qmult,,,,1,unclassified
Quang-Trung,,,,1,unclassified
R--the,,,,1,unclassified
re-computing,,,,1,unclassified
reasoning.5,,,,1,unclassified
removed--as,,,,1,unclassified
"res,prod",,,,1,unclassified
restricted.13,,,,1,unclassified
right-to-left,,,,1,unclassified
Rustan,,,,1,unclassified
s.t,,,,1,unclassified
Sacerdoti,,,,1,unclassified
Saiki,,,,1,unclassified
Sanchez-Stern,,,,1,unclassified
saturate(G.E,,,,1,unclassified
Saturation-Based,,,,1,unclassified
Schiex,,,,1,unclassified
Schoisswohl,,,,1,unclassified
Siau-Cheng,,,,1,unclassified
Sighireanu,,,,1,unclassified
Slind,,,,1,unclassified
Smallbone,,,,1,unclassified
Smola,,,,1,unclassified
snd,,,,1,unclassified
Stepp,,,,1,unclassified
Stoica,,,,1,unclassified
strict--that,,,,1,unclassified
sub-routine,,,,1,unclassified
Subsumed(L,,,,1,unclassified
subterms,,,,1,unclassified
success/failure,,,,1,unclassified
Sudip,,,,1,unclassified
Superoptimization,,,,1,unclassified
symbolic-heap,,,,1,unclassified
TACAS,,,,1,unclassified
Takano,,,,1,unclassified
Takeichi,,,,1,unclassified
term-rewriting,,,,1,unclassified
too--owing,,,,1,unclassified
Tupling,,,,1,unclassified
Ulf,,,,1,unclassified
Ullrich,,,,1,unclassified
underisable,,,,1,unclassified
vars(L,,,,1,unclassified
vars(R,,,,1,unclassified
vector--here,,,,1,unclassified
Viktor,,,,1,unclassified
VMCAI,,,,1,unclassified
Weikun,,,,1,unclassified
worklist,,,,1,unclassified
x--this,,,,1,unclassified
x=Z,,,,1,unclassified
Xeon,,,,1,unclassified
Xiong,,,,1,unclassified
xs)--which,,,,1,unclassified
Yichen,,,,1,unclassified
Yingfei,,,,1,unclassified
Yuwei,,,,1,unclassified
Zeno's,,,,1,unclassified
Zhao,,,,1,unclassified
Zhilin,,,,1,unclassified
