Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Simon Peyton Jones,,,,5,Author
Stephen Dolan,,,,2,Author
Amal Ahmed,,,,1,Author
Conal Elliott,,,,1,Author
Frank Pfenning,Frank “Fenning”,,,1,Author
Hideya Iwasaki,,,,1,Author
Joachim Breitner,,,,1,Author
Lionel Parreaux,,,,1,Author
Paul Downen,,,,1,Author
Wei-Ngan Chin,,,,1,Author
Zhenjiang Hu,,,,1,Author
INRIA,,,,1,Institution
 University of Copenhagen,,,,1,Institution
 University of Glasgow,,,,1,Institution
recursive,,,,52,Common-term
constructor,,,,29,Common-term
Haskell,,,,25,Common-term programming-language
consumer,,,,23,
producer,,,,21,
Call-by-Value,,(CBV),,19,Common-term evaluation
OCaml,,,,17,Common-term programming-language
semantics,,,,17,
ACM,,Association for Computing Machinery,,16,
context,,,,16,Common-term
syntax,,,,15,Common-term
subtyping,,,,14,Common-term
functional programming,,,,11,
compiler,,,,10,Common-term
pattern matching,,,,10,
Peyton Jones,,,,10,Name
relational,,,,10,
matching,,“pattern matching”,,9,Common-term
recursion,,,,8,Common-term
SIGPLAN,,special interest group on programming languages,,8,
algorithmic,,,,7,Common-term
contextual,,,,7,Common-term
ND,(natural deduction),,,6,Common-term
runtime,,,,6,Common-term
theorem,,,,6,Common-term
allocations,,,,5,Common-term
expression,,,,5,Common-term
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,5,
Power,,,,5,
compiled,,,,4,
destructor,,,,4,Common-term
higher-order,,,,4,Common-term
linear,,,,4,Common-term
optional,,,,4,
syntactic,,,,4,Common-term
Wadler,,,,4,Name
Ahmed,,,,3,Name
Appel,,,,3,
combinator,,,,3,Common-term
consistency,,Gradual typing,,3,theory
deriving,,,,3,
ICFP,,Conference,,3,Common-term
inductive,,,,3,Common-term
integer,,,,3,Common-term
lemma,,,,3,Common-term
polymorphic,,,,3,Common-term
polymorphism,,,,3,Common-term
POPL,pop-ill,Conference,,3,Common-term
call by value,,,call-by-value as adjective,2,
Call-by-Name,,(CBN),,2,Common-term evaluation
defunctionalization,,,,2,
derivation,,,,2,
derive,,,,2,
desugaring,,,,2,Common-term
equirecursive,,,,2,
evaluator,,,,2,
force,,,,2,Common-term evaluation
GHC,,,,2,compiler tool
Gibbons,,,,2,
I/O,“eye-oh”,,,2,
induction,,,,2,Common-term
instantiation,,,,2,
isomorphic,,,,2,Common-term
