Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Martin Elsman,,,,6,Author
Lars Birkedal,,,,3,Author
Simon Peyton Jones,,,,2,Author
Stephen Dolan,,,,2,Author
Gabriel Radanne,,,,1,Author
Gabriel Scherer,,,,1,Author
Jacques Carette,,,,1,Author
James Cheney,,,,1,Author
Jeremy Yallop,,,,1,Author
John Reppy,,,,1,Author
Laure Gonnord,,,,1,Author
Leo White,,,,1,Author
Paul Downen,,,,1,Author
IT University of Copenhagen,,,,2,Institution
Carnegie Mellon University,,CMU,,1,Institution
Microsoft Research,,Often “MSR”,,1,Institution
 Princeton University,,,,1,Institution
constructor,,,,57,Common-term
ACM,,Association for Computing Machinery,,51,
compiler,,,,34,Common-term
MLton,I assume “milton”,,,31,
ICFP,,Conference,,29,Common-term
ML,,,,26,Programming-language
well-formed,,,,19,Common-term
expression,,,,12,Common-term
Scheme,,,,12,Common-term programming-language
SML/NJ,,,,12,
pointer,,,,11,Common-term
polymorphic,,,,10,Common-term
runtime,,,,10,Common-term
datatype,,,,9,Common-term
garbage collection,,GC,,9,Common-term
nil,,,,9,
ref,,,,9,
context,,,,7,Common-term
memory management,,,,7,Common-term
OCaml,,,,7,Common-term programming-language
polymorphism,,,,7,Common-term
induction,,,,6,Common-term
recursive,,,,6,Common-term
reduction,,,,6,Common-term
fn,,,,5,
functional programming,,,,5,
K ,,“K axiom”,,5,
POPL,pop-ill,Conference,,5,Common-term
Semantic,,,,5,Common-term
SIGPLAN,,special interest group on programming languages,,5,
garbage collector,,GC,,4,Common-term
integer,,,,4,Common-term
Patricia trees,,,,4,
Appel,,,,3,
compiled,,,,3,
derivation,,,,3,
Peyton Jones,,,,3,Name
Pi, pie,dependent types,,3,theory
PLDI,,Conference,,3,Common-term
redex,,,,3,
syntactic,,,,3,Common-term
well-typed,,,,3,Common-term
atomic,,,,2,
category,,,,2,
closures,,,,2,Common-term
contextual,,,,2,Common-term
inductive,,,,2,Common-term
inferring,,,,2,
Leroy,,,,2,Name
pattern matching,,,,2,
Rust,,,,2,Common-term programming-language
unification,,,,2,
beta-reduction,,,,1,Common-term evaluation
compile-time,,,,1,Common-term
conclusion,,,,1,
cons,kon-ss,,,1,
conservative,,,,1,theory
decomposition,,,,1,
dependent,,,,1,Common-term
dynamic semantics,,,,1,
enumeration,,,,1,Common-term
Felleisen,,,,1,
Haskell,,,,1,Common-term programming-language
heap,,,,1,
instantiation,,,,1,
instruction,,,,1,
JavaScript,,,,1,Common-term programming-language
Jim,,,,1,
Kiselyov,,,,1,
match,,,,1,
modular,,,,1,Common-term
Peterson,,,,1,
redexes,,,,1,Common-term
reflect,,,,1,
register,,,,1,
semantics,,,,1,
small-step,,,,1,Common-term
subject reduction,,,,1,Common-term
syntax,,,,1,Common-term
type substitution,,,,1,
Type-preservation,,,,1,
Wadler,,,,1,Name
Why,,,,1,
MLKit,,,,104,unclassified
boxity,,,,102,unclassified
data-type,,,,44,unclassified
bit-stealing,,,,39,unclassified
ckind(B,,,,36,unclassified
high-bit,,,,21,unclassified
B(t,,,,15,unclassified
boxities,,,,11,unclassified
low-unboxed,,,,11,unclassified
c.v,,,,10,unclassified
union-find,,,,10,unclassified
high-unboxed,,,,9,unclassified
RegionExp,,,,9,unclassified
enum,,,,7,unclassified
least-significant,,,,7,unclassified
ML-Yacc,,,,7,unclassified
MLKitr,,,,7,unclassified
uf,,,,7,unclassified
whole-program,,,,7,unclassified
C(c,,,,6,unclassified
E[e,,,,6,unclassified
reference-tracing,,,,6,unclassified
data-types,,,,5,unclassified
e[w/x,,,,5,unclassified
lexing,,,,5,unclassified
most-significant,,,,5,unclassified
SIGPLAN-SIGACT,,,,5,unclassified
arity,,,,4,unclassified
DLX,,,,4,unclassified
kbc,,,,4,unclassified
LambdaExp,,,,4,unclassified
Mega,,,,4,unclassified
ML-Lex,,,,4,unclassified
MosML,,,,4,unclassified
MUL,,,,4,unclassified
multi-argument,,,,4,unclassified
PTR,,,,4,unclassified
Springer-Verlag,,,,4,unclassified
wall-clock,,,,4,unclassified
db1,,,,3,unclassified
dbn,,,,3,unclassified
Hallenberg,,,,3,unclassified
lexgen,,,,3,unclassified
LineStmt,,,,3,unclassified
low-bit,,,,3,unclassified
ML-like,,,,3,unclassified
Morrisett,,,,3,unclassified
optimisation,,,,3,unclassified
optimisations,,,,3,unclassified
s-sym,,,,3,unclassified
s-var,,,,3,unclassified
ad-hoc,,,,2,unclassified
argument-flattening,,,,2,unclassified
AUTHOR(S,,,,2,unclassified
BIBOP,,,,2,unclassified
blk2,,,,2,unclassified
ClosExp,,,,2,unclassified
cm+n,,,,2,unclassified
Comput,,,,2,unclassified
e-dd,,,,2,unclassified
effect-binding,,,,2,unclassified
ftv,,,,2,unclassified
Henglein,,,,2,unclassified
inlining,,,,2,unclassified
Inter-Module,,,,2,unclassified
Lf(k,,,,2,unclassified
MacQueen,,,,2,unclassified
mergeable,,,,2,unclassified
MulExp,,,,2,unclassified
non-bound,,,,2,unclassified
non-strict,,,,2,unclassified
owner/author(s,,,,2,unclassified
real-world,,,,2,unclassified
referencetracing,,,,2,unclassified
region-inference,,,,2,unclassified
ribbit,,,,2,unclassified
