Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Graham Hutton,,,,7,Author
Patrick Bahr,,,,6,Author
Nils Anders Danielsson,,,,2,Author
Norman Ramsey,,,,2,Author
Adam Chlipala,,,,1,Author
Amr Sabry,,,,1,Author
Dariusz Biernacki,Dariush /ˈdarʲjuʃ/ Biernacki,,,1,Author
Edwin Brady,,,,1,Author
Jan Midtgaard,,,,1,researcher
Lars Birkedal,,,,1,Author
Mads Sig Ager,,,,1,researcher
Olivier Danvy,,,,1,researcher
Simon Peyton Jones,,,,1,Author
 Independent,,,,1,Institution
 Meta,,,,1,Institution
compiler,,,,92,Common-term
induction,,,,37,Common-term
stack,,,,27,
semantics,,,,25,
expression,,,,23,Common-term
constructor,,,,20,Common-term
coinductive,,,,18,Common-term
instruction,,,,17,
syntax,,,,17,Common-term
bisimilarity,,Notion of equivalence between programs,,16,Common-term equivalence
clause,,,,14,
recursive,,,,13,Common-term
monad,Mow-nad,,,12,Common-term
functional programming,,,,10,
step-indexed,,“step-indexed logical relations” “step-indexed logics” “step-indexed reasoning”,,10,Common-term
higher-order,,,,9,Common-term
linear,,,,9,Common-term
ACM,,Association for Computing Machinery,,7,
generic,,,,7,
partiality monad,,,,7,
Agda,,Agda-style,,5,Common-term Programming-language
congruence,,,,5,Common-term
inductive,,,,5,Common-term
monadic,Mow-nad-ick,,,5,
conclusion,,,,4,
derive,,,,4,
Haskell,,,,4,Common-term programming-language
integer,,,,4,Common-term
recursion,,,,4,Common-term
acyclic,,,,3,Common-term
deriving,,,,3,
equational,,,,3,Common-term
ICFP,,Conference,,3,Common-term
bisimilar,,,,2,Common-term equivalence
Capretta,,,,2,
concurrent,,,,2,Common-term
Danielsson,,,,2,
Gibbons,,,,2,
Idris,,,,2,
isomorphic,,,,2,Common-term
lambda calculi,,,,2,Common-term
lambda calculus,lam-duh calculus,,,2,theory
Leroy,,,,2,Name
ML,,,,2,Programming-language
Pickard,,,,2,
polymorphic,,,,2,Common-term
Ramsey ,,,,2,
applicative,,,,1,Common-term
bisimulation,,,,1,Common-term equivalence
Brady,,,,1,
Chalmers University of Technology,,,,1,Institute
Church-Rosser,,,,1,
combinator,,,,1,Common-term
CompCert,,A certified compiler,,1,
compiled,,,,1,
concurrency,,,,1,Common-term
continuation,,,,1,
continuation-passing style,,,,1,
defunctionalization,,,,1,
dependent,,,,1,Common-term
dependently-typed,,,,1,types
derivation,,,,1,
expressive,,,,1,Common-term
expressiveness,,,,1,Common-term
fold,,,,1,Common-term
force,,,,1,Common-term evaluation
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,1,
iterations,,,,1,
meta-language,,,,1,
modality,,,,1,Common-term
modular,,,,1,Common-term
Nijmegen,,“Radboud University Nijmegen” A city in the Netherlands,,1,City
Non-determinism,,,,1,Common-term
operational semantics,,,,1,
POPL,pop-ill,Conference,,1,Common-term
Power,,,,1,
reflection,,,,1,Common-term
register,,,,1,
sequential ,,,,1,
