Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Jonathan Protzenko,,,,4,Author
Derek Dreyer,,,,3,Author
Ralf Jung,,,,2,Author
Aymeric Fromherz,,,,1,Author
John Reynolds,,,,1,researcher
Naoki Kobayashi,,,,1,Author
Robbert Krebbers,,,,1,Author
Son Ho,,,,1,Author
Thibaut Balabonski,,,,1,researcher
Youngju Song,,,,1,Author
 Independent,,,,6,Institution
INRIA,,,,1,Institution
 INRIA Saclay,,,,1,Institution
 Meta,,,,1,Institution
LLBC,,,,311,
induction,,,,139,Common-term
borrows,,,,133,
PL,,,,132,
Rust,,,,121,Common-term programming-language
semantics,,,,117,
symbolic,,,,108,
abstraction,,,,83,Common-term
lemma,,,,69,Common-term
mut,“mute”,“mutable”,,59,
abstractions,,,,40,
pointer,,,,40,Common-term
K ,,“K axiom”,,39,
theorem,,,,39,Common-term
Ret,,,,38,
stack,,,,26,
Aeneas,,,,20,
operational semantics,,,,16,
heap,,,,15,
ACM,,Association for Computing Machinery,,14,
Semantic,,,,14,Common-term
RustBelt,,,,13,
match,,,,12,
fn,,,,11,
reflexivity,,,,11,Common-term
syntax,,,,11,Common-term
compiler,,,,10,Common-term
reduction,,,,10,Common-term
RustHorn,,,,10,
context,,,,9,Common-term
Leroy,,,,8,Name
modular,,,,8,Common-term
Protzenko,,,,8,
Why,,,,8,
capability,,,,7,
CompCert,,A certified compiler,,7,
Creusot,,,,7,
fixpoint,,,,7,Common-term
ghost,,,,7,
Mezzo,,,,7,
bisimulation,,,,6,Common-term equivalence
closure,,,,6,Common-term
conclusion,,,,6,
cons,kon-ss,,,6,
constructor,,,,6,Common-term
O'Hearn,,,,6,Name
POPL,pop-ill,Conference,,6,Common-term
recursive,,,,6,Common-term
generic,,,,5,
Go,,,,5,
Id,,,,5,
immutable,,,,5,Common-term
nil,,,,5,
aliasing,,,,4,
calculus,,Used to describe a core simple programming language,,4,Common-term
derivation,,,,4,
derive,,,,4,
inductive,,,,4,Common-term
judgement,,dependent types,,4,theory
Low-Level Borrow Calculus,,,,4,
separation logic,,,,4,Common-term
step-indexed,,“step-indexed logical relations” “step-indexed logics” “step-indexed reasoning”,,4,Common-term
callee,,,,3,Common-term
coinductive,,,,3,Common-term
divergence,,,,3,Common-term
formalization,,,,3,Common-term
integer,,,,3,Common-term
OOPSLA,oops-la,,,3,Conference
Polonius,,,,3,
Pottier,,,,3,
Prusti,,,,3,
relational,,,,3,
SIGPLAN,,special interest group on programming languages,,3,
syntactic,,,,3,Common-term
Viper,,,,3,
allocations,,,,2,Common-term
deductive,,,,2,
desugaring,,,,2,Common-term
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,2,
instantiation,,,,2,
IR ,I.R.,intermediate representation,,2,
LLVM,L.L.V.M.,,,2,
modularity,,,,2,Common-term
object-oriented,,,,2,Common-term paradigm
register,,,,2,
StackOverflow,,,,2,
Swamy,,,,2,
well-formedness,,,,2,Common-term
Appel,,,,1,
array,,,,1,Common-term
AST ,A.S.T.,Abstract Syntax Tree,,1,
backtracking,,,,1,Common-term
Boolean,,,,1,
CACM ,,,,1,
collecting semantics,,,,1,
concurrency,,,,1,Common-term
concurrent,,,,1,Common-term
Dependent types,,,,1,types
deriving,,,,1,
duality,,,,1,
effectful,,,,1,
equirecursive,,,,1,
expression,,,,1,Common-term
expressive,,,,1,Common-term
ICFP,,Conference,,1,Common-term
Jim,,,,1,
lattice,,,,1,Common-term
linear,,,,1,Common-term
mechanization,,,,1,
ML,,,,1,Programming-language
model checking,,Automatic theorem proving,,1,technique tool
n-th ,,,,1,
OCaml,,,,1,Common-term programming-language
PLDI,,Conference,,1,Common-term
Power,,,,1,
protocol,,,,1,
quantifier,,,,1,Common-term
runtime,,,,1,Common-term
scalability,,,,1,
small-step,,,,1,Common-term
SMT solver,,Type of tool for solving SMT problems,,1,Tool
typechecking,,,,1,Common-term
weakening,,,,1,Common-term
well-formed,,,,1,Common-term
HLPL,,,,244,unclassified
blockof,,,,69,unclassified
ptr,,,,67,unclassified
addrof,,,,66,unclassified
Borrow-Checking,,,,56,unclassified
Le-MoveValue,,,,39,unclassified
Le-ToAbs,,,,36,unclassified
Le-SharedReservedBorrow-To-Ptr,,,,32,unclassified
sizeof,,,,30,unclassified
to-abs,,,,30,unclassified
Le-MutBorrow-To-Ptr,,,,29,unclassified
Le-ToSymbolic,,,,27,unclassified
Le-Merge-Locs,,,,26,unclassified
proj_marked,,,,23,unclassified
Le-Reborrow-SharedLoan,,,,22,unclassified
Le-Box-To-Loc,,,,21,unclassified
Le-MergeAbs,,,,20,unclassified
Le-SharedLoan-To-Loc,,,,19,unclassified
Le-Subst,,,,19,unclassified
"imm,mut",,,,18,unclassified
Le-Reborrow-SharedBorrow,,,,18,unclassified
Le-Abs-End-SharedLoan,,,,17,unclassified
Le-Abs-End-DupSharedBorrow,,,,16,unclassified
Reorg-End-MutBorrow,,,,16,unclassified
Le-Fresh-SharedLoan,,,,15,unclassified
Le-Fresh-MutLoan,,,,14,unclassified
Le-Fresh-SharedBorrow,,,,14,unclassified
Le-Reborrow-MutBorrow,,,,14,unclassified
borrow-checker,,,,12,unclassified
borrow_checks,,,,12,unclassified
Le-AnonValue,,,,12,unclassified
Le-RemoveAnon,,,,12,unclassified
Reorg-End-Pointer,,,,12,unclassified
E-Call-Symbolic,,,,11,unclassified
false,,,,11,unclassified
Le-Abs-ClearValue,,,,11,unclassified
Le-Abs-DeconstructPair,,,,11,unclassified
Le-Abs-DeconstructSum,,,,11,unclassified
Le-ClearAbs,,,,11,unclassified
Reorg-End-Loc,,,,11,unclassified
MergeAbs-Mut,,,,10,unclassified
Reorg-Activate-Reserved,,,,10,unclassified
proj_input,,,,9,unclassified
proj_output,,,,9,unclassified
pz,,,,9,unclassified
Reorg-End-SharedReservedBorrow,,,,9,unclassified
Rust's,,,,9,unclassified
RustHornBelt,,,,9,unclassified
borrow-check,,,,8,unclassified
HLPL+-E-Pointer,,,,8,unclassified
init_extern,,,,8,unclassified
Le-Reborrow-MutBorrow-Abs,,,,8,unclassified
Reorg-End-SharedLoan,,,,8,unclassified
right-value,,,,8,unclassified
sloans_incl,,,,8,unclassified
big-step,,,,7,unclassified
control-flow,,,,7,unclassified
Cousot,,,,7,unclassified
E-SharedBorrow,,,,7,unclassified
Matsushita,,,,7,unclassified
ToAbs-MutBorrow,,,,7,unclassified
borrow-centric,,,,6,unclassified
E-Assign,,,,6,unclassified
E-MutBorrow,,,,6,unclassified
E-Pointer,,,,6,unclassified
E-Reorg,,,,6,unclassified
HLPL+-E-Assign,,,,6,unclassified
inst_sig,,,,6,unclassified
Join-MutBorrows,,,,6,unclassified
LLBC's,,,,6,unclassified
pop_stack,,,,6,unclassified
