Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Manuel Serrano,,,,2,Author
JavaScript,,,,38,Common-term programming-language
functional programming,,,,19,
recursive,,,,9,Common-term
array,,,,8,Common-term
expression,,,,7,Common-term
semantics,,,,7,
syntax,,,,5,Common-term
ACM,,Association for Computing Machinery,,4,
Boolean,,,,4,
Power,,,,3,
backtracking,,,,2,Common-term
Non-determinism,,,,2,Common-term
Why,,,,2,
abstraction,,,,1,Common-term
compiled,,,,1,
conclusion,,,,1,
concurrent,,,,1,Common-term
decomposition,,,,1,
discrete,,,,1,
filter,,,,1,
fork/join,,“fork/join parallelism”,,1,
instantiation,,,,1,
Java,,,,1,
modifier,,,,1,
modular,,,,1,Common-term
multiplicative,,,,1,
permissions@acm.org,,,,1,email
runtime,,,,1,Common-term
staging,,,,1,
syntactic,,,,1,Common-term
traversal,,,,1,Common-term
Esterel,,,,72,unclassified
hiphop,,,,50,unclassified
Sudoku,,,,38,unclassified
inout,,,,16,unclassified
cannots,,,,13,unclassified
"x,y",,,,12,unclassified
false,,,,11,unclassified
x.union(y,,,,11,unclassified
signal's,,,,10,unclassified
Esterel's,,,,9,unclassified
cell's,,,,8,unclassified
chute_len,,,,7,unclassified
iota.map(i,,,,6,unclassified
iota.map(j,,,,6,unclassified
coords,,,,5,unclassified
light(new,,,,5,unclassified
"phase(""green",,,,5,unclassified
"phase(""orange",,,,5,unclassified
"phase(""red",,,,5,unclassified
boolean-valued,,,,4,unclassified
c.i,,,,4,unclassified
c.j,,,,4,unclassified
nowval,,,,4,unclassified
preval,,,,4,unclassified
SudokuMachine,,,,4,unclassified
AUTHOR(S,,,,3,unclassified
d.i,,,,3,unclassified
d.j,,,,3,unclassified
ForkHouseMap,,,,3,unclassified
house's,,,,3,unclassified
lower-left,,,,3,unclassified
MustOtherCannot,,,,3,unclassified
MustThisCannot,,,,3,unclassified
s.nowval,,,,3,unclassified
"Set([""red",,,,3,unclassified
Array.from({length,,,,2,unclassified
BOARD_SIZE,,,,2,unclassified
coords.map(c,,,,2,unclassified
digits.size,,,,2,unclassified
e.i,,,,2,unclassified
e.j,,,,2,unclassified
Esterel-style,,,,2,unclassified
filter(d,,,,2,unclassified
fork...par,,,,2,unclassified
ForkHouseMap(coords,,,,2,unclassified
ForkHouseMap(MustOtherCannot,,,,2,unclassified
HoDoKu,,,,2,unclassified
iota.flatMap(i,,,,2,unclassified
iota.map,,,,2,unclassified
map(d,,,,2,unclassified
newGivens,,,,2,unclassified
newSignals,,,,2,unclassified
non-local,,,,2,unclassified
proc(iota.map(j,,,,2,unclassified
reset.nowval,,,,2,unclassified
right-most,,,,2,unclassified
s(true,,,,2,unclassified
"Set([""green",,,,2,unclassified
