Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Simon Peyton Jones,,,,2,Author
Jane Street,,,,1,Institution
functional programming,,,,26,
ACM,,Association for Computing Machinery,,19,
API,A.P.I.,Application Programming Interface,,19,Common-term
Haskell,,,,15,Common-term programming-language
IO,Eye-oh,,,15,
compiler,,,,7,Common-term
runtime,,,,7,Common-term
IR ,I.R.,intermediate representation,,5,
quantitative,,,,5,
GHC,,,,4,compiler tool
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,4,
recursion,,,,4,Common-term
SIGPLAN,,special interest group on programming languages,,4,
context,,,,3,Common-term
datatype,,,,3,Common-term
DSL,,,,3,
Java,,,,3,
OS,operating system,,,3,
conclusion,,,,2,
dependent,,,,2,Common-term
ecosystem,,,,2,
Go,,,,2,
monad,Mow-nad,,,2,Common-term
monadic,Mow-nad-ick,,,2,
Peyton Jones,,,,2,Name
relational,,,,2,
semantics,,,,2,
syntax,,,,2,Common-term
abstraction,,,,1,Common-term
acyclic,,,,1,Common-term
array,,,,1,Common-term
cast,,Gradual typing,,1,theory
closure,,,,1,Common-term
codebase,,,,1,Common-term
compiled,,,,1,
concat,,concatenation common function,,1,Function
constructor,,,,1,Common-term
derivation,,,,1,
effectful,,,,1,
Elimination,,,,1,
expressiveness,,,,1,Common-term
fmap,,functor map common function,,1,Function
forall,,quantifier,,1,Common-term logic
generic,,,,1,
higher-order,,,,1,Common-term
ICFP,,Conference,,1,Common-term
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,1,
JavaScript,,,,1,Common-term programming-language
laziness,,,,1,
memory management,,,,1,Common-term
monoid,,,,1,Common-term
OCaml,,,,1,Common-term programming-language
operational semantics,,,,1,
PLDI,,Conference,,1,Common-term
polymorphism,,,,1,Common-term
recipient@example.com,,,,1,email
recursion schemes,,,,1,
Scala,,,,1,Common-term programming-language
sender@example.com,,,,1,email
stack,,,,1,
type-checker,,,,1,Common-term
untyped,,,,1,
well-formed,,,,1,Common-term
QuickRisk,,,,22,unclassified
WorkPool,,,,13,unclassified
workflow,,,,12,unclassified
SafeIO,,,,9,unclassified
WorkResult,,,,7,unclassified
type-driven,,,,6,unclassified
runQR,,,,5,unclassified
workflows,,,,5,unclassified
workPure,,,,5,unclassified
D.value,,,,4,unclassified
toWorkPool,,,,4,unclassified
tradeWork,,,,4,unclassified
Trds,,,,4,unclassified
trdWk,,,,4,unclassified
WorkApp,,,,4,unclassified
end-user,,,,3,unclassified
getResult,,,,3,unclassified
GUIs,,,,3,unclassified
INTEROPERABILITY,,,,3,unclassified
optimisation,,,,3,unclassified
server-side,,,,3,unclassified
WorkIO,,,,3,unclassified
A.size,,,,2,unclassified
attWk,,,,2,unclassified
AUTHOR(S,,,,2,unclassified
C++code,,,,2,unclassified
data-flow,,,,2,unclassified
downsides,,,,2,unclassified
end-users,,,,2,unclassified
fromAny,,,,2,unclassified
fromMaybe,,,,2,unclassified
GADTs,,,,2,unclassified
IFunction,,,,2,unclassified
IR.Delta.dat,,,,2,unclassified
mconcat,,,,2,unclassified
mktWk,,,,2,unclassified
outP,,,,2,unclassified
prcWk,,,,2,unclassified
runWork,,,,2,unclassified
sErr,,,,2,unclassified
SFL,,,,2,unclassified
"Stage,Output",,,,2,unclassified
sub-expression,,,,2,unclassified
tds,,,,2,unclassified
TDS.Elem,,,,2,unclassified
toAny,,,,2,unclassified
toKey,,,,2,unclassified
TradeParams,,,,2,unclassified
UFL,,,,2,unclassified
workWorkIO,,,,2,unclassified
1-space,,,,1,unclassified
2pm,,,,1,unclassified
3-space,,,,1,unclassified
add-in.1,,,,1,unclassified
Aivaloglou,,,,1,unclassified
Alaaeddin,,,,1,unclassified
anamorphisms,,,,1,unclassified
Attr,,,,1,unclassified
attrWork,,,,1,unclassified
backend,,,,1,unclassified
bank-wide,,,,1,unclassified
Barclays,,,,1,unclassified
bi-)functors,,,,1,unclassified
bytecode,,,,1,unclassified
C++(Section,,,,1,unclassified
C++(under,,,,1,unclassified
C++and,,,,1,unclassified
C++can,,,,1,unclassified
C++functions,,,,1,unclassified
C++std:string,,,,1,unclassified
C++type,,,,1,unclassified
case-study,,,,1,unclassified
castAny,,,,1,unclassified
catamorphisms,,,,1,unclassified
CLIs,,,,1,unclassified
Core.saveValue,,,,1,unclassified
CSV,,,,1,unclassified
Czaplicki,,,,1,unclassified
D.fromList,,,,1,unclassified
Date.now,,,,1,unclassified
De-)serialisation,,,,1,unclassified
dencies,,,,1,unclassified
depen,,,,1,unclassified
"display=Res,Attr",,,,1,unclassified
domain-specific,,,,1,unclassified
dynamically-typed,,,,1,unclassified
e.q,,,,1,unclassified
Eber,,,,1,unclassified
Efthimia,,,,1,unclassified
emailing,,,,1,unclassified
end-of-day,,,,1,unclassified
fclabels-style2,,,,1,unclassified
Felienne,,,,1,unclassified
first-order,,,,1,unclassified
Foreign-function,,,,1,unclassified
FpML4,,,,1,unclassified
fromWork,,,,1,unclassified
frontend,,,,1,unclassified
GHC's,,,,1,unclassified
HashMaps,,,,1,unclassified
Haskell/Mu,,,,1,unclassified
Hermans,,,,1,unclassified
high-availability,,,,1,unclassified
Hoepelman,,,,1,unclassified
HTML,,,,1,unclassified
HTTP,,,,1,unclassified
https,,,,1,unclassified
hylomorphisms,,,,1,unclassified
inlining,,,,1,unclassified
inputPrc,,,,1,unclassified
inputTrade,,,,1,unclassified
inputTrades=myFile,,,,1,unclassified
inputTrd,,,,1,unclassified
inter-dependencies,,,,1,unclassified
IR.Delta.risk,,,,1,unclassified
Jean-Marc,,,,1,unclassified
JSON,,,,1,unclassified
L.filter,,,,1,unclassified
L.map,,,,1,unclassified
L.null,,,,1,unclassified
let-clauses,,,,1,unclassified
Linux,,,,1,unclassified
long-running,,,,1,unclassified
mempty,,,,1,unclassified
Microsoft,,,,1,unclassified
mktParams,,,,1,unclassified
mktWork,,,,1,unclassified
Model-View-Update,,,,1,unclassified
monomorphised,,,,1,unclassified
